Key,Old Definition (NTU),Old Definition (EWN),New Definition,NTU,EWN,New,Other
ewn-00009835-r,completely,completely; used as intensifiers,absolutely,FALSE,TRUE,FALSE,
ewn-00023420-a,not exact,not accurate,erroneous,FALSE,FALSE,TRUE,
ewn-00032295-r,used as intensifiers,used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal,used to give emphasis,FALSE,FALSE,TRUE,
ewn-00050548-n,the act of entering,"an entrance, especially a theatrical entrance onto a stage or as if onto a stage",the act or manner of entering,FALSE,TRUE,FALSE,
ewn-00051791-s,adequate for the purpose,"adequate, but not outstanding or exceptional",satisfactory for the purpose,FALSE,TRUE,FALSE,
ewn-00058239-v,birth,give birth to (a puppy),to birth (of a dog),FALSE,TRUE,FALSE,
ewn-00058651-v,birth,give birth to (a calf),"to birth (of cows, whales, and any animal that produces young called calves)",FALSE,TRUE,FALSE,
ewn-00090922-s,very unpleasant,extremely disagreeable and unpleasant,"causing suffering, fear or unhappiness",FALSE,TRUE,FALSE,
ewn-00103874-r,immediately,on first seeing (someone or something); immediately,at first perception,FALSE,TRUE,FALSE,
ewn-00109067-v,inhale audibly through the nose,inhale (something) through the nose,draw through the nostrils by the act of inhalation,FALSE,TRUE,FALSE,
ewn-00203298-v,restrain,change by restraining or moderating,check or curb,FALSE,TRUE,FALSE,
ewn-00333090-r,in an irregular manner,at an uneven rate,in an uneven or spasmodic manner,FALSE,TRUE,FALSE,
ewn-00382155-r,without bounds,(spatial sense) seeming to have no bounds,without limits,FALSE,TRUE,FALSE,
ewn-00403480-a,having striking color,having much or varied color,having striking and/or varied colors,FALSE,TRUE,FALSE,
ewn-00403922-s,having striking color,having strong or striking color,having intense color,FALSE,TRUE,FALSE,
ewn-00443377-n,the act of swimming,the act of swimming for pleasure or recreation,the act of swimming or spending time in the water,FALSE,TRUE,FALSE,
ewn-00472504-r,in a romantic manner,in an idealistic and unrealistic manner,in a romantic manner; idealistic,FALSE,TRUE,FALSE,
ewn-00524044-s,complete,complete and absolute,absolute,FALSE,TRUE,FALSE,
ewn-00525986-s,thorough,complete; thorough,thorough and severe,FALSE,TRUE,FALSE,
ewn-00529920-s,broad in scope or content,comprehensive in scope or content (as an encyclopedia),comprehensive in scope or content,FALSE,TRUE,FALSE,
ewn-00537516-s,not clearly understood or expressed,hard or impossible to understand,"difficult to understand, poorly expressed",FALSE,TRUE,FALSE,
ewn-00627729-s,fairly large,"of considerable importance, size, or worth",of considerable size,FALSE,TRUE,FALSE,
ewn-00700266-s,disposed or willing to comply,disposed or willing to conform,"open to suggestion, cooperative",FALSE,TRUE,FALSE,
ewn-00700543-s,offering no resistance,not resistant,"offering no resistance, compliant",FALSE,FALSE,TRUE,
ewn-00728118-n,the position of a back on a football team,(American football) an offensive position in the backfield,"the position of a back on a football team, generally larger in size than halfbacks",FALSE,FALSE,FALSE,"(American football) the position of a back on a football team, generally larger in size than halfbacks"
ewn-00728250-n,the position of a back on a football team,(American football) an offensive back usually positioned behind the quarterback and to the side of the fullback,"the position of a back on a football team, generally smaller in size than a fullback",FALSE,FALSE,FALSE,"(American football) the position of a back on a football team, generally smaller in size than a fullback"
ewn-00751514-n,an act of betrayal,"a betrayal of one's principles principles, country, cause, etc.",a betrayal of one's principles,FALSE,TRUE,FALSE,
ewn-00768832-s,without reservation,forthright and explicit,outright,FALSE,TRUE,FALSE,
ewn-00923033-s,highly excited,"highly excited by eagerness, curiosity, etc.",in a state of great enthusiasm,FALSE,TRUE,FALSE,
ewn-01149209-s,extremely steep,so steep as to be nearly vertical,extremely steep (to the extent of being vertical),FALSE,TRUE,FALSE,
ewn-01159816-s,having attained to kindliness or gentleness through age and experience,softened through age or experience,having attained kindliness or gentleness through age and experience,FALSE,TRUE,FALSE,
ewn-01164308-n,the act of punishing,the act of disciplining,the act of castigating,FALSE,TRUE,FALSE,
ewn-01253778-s,extremely hot,extremely hot and dry,intensely hot,FALSE,TRUE,FALSE,
ewn-01320185-s,free from constraint,unrestrained and uninhibited,uninhibited,FALSE,TRUE,FALSE,
ewn-01335723-n,a family of arborviruses carried by arthropods,a family of arboviruses carried by arthropods,"a family of round, pleomorphic arborviruses carried by arthropods",FALSE,FALSE,TRUE,
ewn-01335942-n,a family of arborviruses carried by arthropods,a family of arboviruses carried by arthropods,a family of rod-shaped arborviruses carried by arthropods,FALSE,FALSE,TRUE,
ewn-01362125-a,in an artificial environment outside the living organism,of a biological process occurring in an artificial environment outside the living organism,under artificial conditions outside the living organism,FALSE,TRUE,FALSE,
ewn-01397180-s,very small,extremely small,extremely small,FALSE,TRUE,FALSE,
ewn-01461111-a,used chiefly as a direction or description in music,"(used chiefly as a direction or description in music) soft; in a quiet, subdued tone","used chiefly as a direction or description in music, indicating that said piece or segment should be played softly",FALSE,TRUE,FALSE,
ewn-01461461-s,chiefly a direction or description in music; very soft,(chiefly a direction or description in music) very soft,chiefly a direction or description in music; extremely soft,FALSE,TRUE,FALSE,
ewn-01461579-a,used chiefly as a direction or description in music,(used chiefly as a direction or description in music) loud; with force,"used chiefly as a direction or description in music, indicating that said piece or segment should be played loudly",FALSE,FALSE,FALSE,(used chiefly as a direction or description in music) indicating that said piece or segment should be played loudly
ewn-01475013-a,of a scale or mode,(of a scale or mode) having half steps between the third and fourth degrees and the seventh and eighth degrees,"of a scale or mode, having intervals of a semitone between the third and fourth, and seventh and eighth degrees",FALSE,TRUE,FALSE,
ewn-01475232-a,of a scale or mode,"(of a scale or mode) having half steps between the second and third degrees, and (usually) the fifth and sixth degrees, and the seventh and eighth degrees","of a scale or mode,  having intervals of a semitone between the second and third degrees, and (generally) the fifth and sixth, and the seventh and eighth",FALSE,TRUE,FALSE,
ewn-01493868-s,beginning to develop,initial,in an initial stage,FALSE,FALSE,TRUE,
ewn-01514513-s,harsh,punishingly harsh,"unpleasant, unyielding",FALSE,TRUE,FALSE,
ewn-01515033-s,extreme,intense or extreme,extreme or intense,FALSE,TRUE,FALSE,
ewn-01581122-s,without material form or substance,transcending physical matter or the laws of nature,transcending physical matter,FALSE,TRUE,FALSE,
ewn-01613579-s,not observed,not seen or observed,unnoticed,FALSE,FALSE,TRUE,
ewn-01775905-s,expressing disapproval,expressing disapproval in order to dissuade,conveying disapproval,FALSE,TRUE,FALSE,
ewn-01868236-s,accessible to all,not restricted or exclusive,not limited in any way,FALSE,TRUE,FALSE,
ewn-01968015-s,occurring from time to time,occurring on a temporary or irregular basis,irregular or impermanent,FALSE,TRUE,FALSE,
ewn-02141804-s,exciting sexual desire,intentionally arousing sexual desire,arousing sexual desire,FALSE,TRUE,FALSE,
ewn-02171017-s,worthy of notice,"worthy of attention because interesting, significant, or unusual",worthy of attention,FALSE,FALSE,TRUE,
ewn-02275064-a,quantifier,(quantifier) used with either mass nouns or plural count nouns to indicate an unspecified number or quantity,"quantifier, an unspecified amount of; quantifier, assertive existential pronoun; quantifier, assertive existential",FALSE,TRUE,FALSE,
ewn-02276242-a,quantifier,(quantifier) used with either mass nouns or plural count nouns for indicating a complete or almost complete lack or zero quantity of,"quantifier, not any or not at all",FALSE,TRUE,FALSE,
ewn-02277044-a,quantifier,(quantifier) used with either mass or count nouns to indicate the whole number or amount of or every one of a class,"quantifier, used to refer to the entire quantity or extent of something; entity, universal pronoun; quantifier, universal",FALSE,TRUE,FALSE,
ewn-02287272-s,with liveliness or spirit,with vigor,with liveliness or vigour,FALSE,TRUE,FALSE,
ewn-02328429-a,used of syllables,"(used of syllables) bearing the principle stress, usually accompanied by a change in pitch",stressed (used of syllables),FALSE,TRUE,FALSE,
ewn-02328637-a,used of syllables,(used of syllables) carrying no stress,unstressed (used of syllables),FALSE,TRUE,FALSE,
ewn-02332671-s,lacking strength or vigor,lacking energy or vitality,weak or weakening,FALSE,TRUE,FALSE,
ewn-02412395-a,lacking in strength or firmness or resilience,lacking in firmness or tension; not taut,"lacking in rigidity or tightness, slack",FALSE,TRUE,FALSE,
ewn-02435043-s,lacking neatness or order,"ragged, thin, or untidy in appearance",irregular or unkempt,FALSE,TRUE,FALSE,
ewn-02506031-s,easy to use,useful and convenient,convenient to use,FALSE,TRUE,FALSE,
ewn-02512593-s,without merit,without merit; of little or no value or use,worthless,FALSE,TRUE,FALSE,
ewn-02548215-a,music,(music) increasing in tempo and/or volume,of music: increasing in loudness or tempo,FALSE,TRUE,FALSE,
ewn-02548631-a,music,(music) decreasing in tempo and/or volume,of music: decreasing in loudness or tempo,FALSE,TRUE,FALSE,
ewn-03630435-n,a basic knitting stitch,a basic knitting stitch made by putting the needle through the front of the stitch from the lefthand side,a basic knitting stitch that passes through the previous loop from below,FALSE,TRUE,FALSE,
ewn-04032574-n,a basic knitting stitch,a basic knitting stitch made by putting the needle through the front of the stitch from the righthand side,a basic knitting stitch that passes through the previous loop from above,FALSE,TRUE,FALSE,
ewn-04229661-n,a crochet stitch,the basic crochet stitch,a crochet stitch shaped like a plus sign,FALSE,TRUE,FALSE,
ewn-04756794-n,a distinguishing quality,a distinguishing difference between similar things or people,something that discriminates; a distinguishing quality,FALSE,TRUE,FALSE,
ewn-04788030-n,the quality of being unpleasant,the quality of being highly unpleasant,the quality of being disagreeable,FALSE,TRUE,FALSE,
ewn-04811860-n,the quality of being inaccurate and having errors,the quality of being inexact,the quality of being inaccurate and incorrect,FALSE,TRUE,FALSE,
ewn-09995959-n,a human being,a human being; `wight' is an archaic term,a living being,FALSE,FALSE,TRUE,
ewn-13990169-n,having more than one husband at a time,polygamy in which a woman has more than one husband at a time,the state of having more than one husband at a time,FALSE,FALSE,TRUE,
ewn-13990515-n,having more than one wife at a time,polygamy in which a man has more than one wife at a time,a form of polygamy in which a man has multiple wives,FALSE,FALSE,TRUE,
ewn-00008423-r,to a complete degree or to the full or entire extent,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),to a complete degree or to the full or entire extent; Completely or entirely,FALSE,FALSE,TRUE,
ewn-00015626-s,"having or being more than normal or necessary:""long on brains""",having or being more than normal or necessary,having or being more than normal or necessary:,FALSE,TRUE,FALSE,
ewn-00042063-a,( used of verbs (e.g. `be' or `own') and most participial adjectives) expressing existence or a state rather than an action,(used of verbs (e.g. `be' or `own') and most participial adjectives) expressing existence or a state rather than an action,(used of verbs (e.g. `be' or `own') and most participial adjectives) expressing existence or a state rather than an action,FALSE,TRUE,FALSE,
ewn-00066148-r,most_recently,most recently,most recently,FALSE,TRUE,FALSE,
ewn-00069153-r,in addition,in addition (usually followed by `with'),together,FALSE,TRUE,FALSE,
ewn-00083948-s,unsolicited and resisted by the management of the target company ( used of attempts to buy or take control of a business),unsolicited and resisted by the management of the target company (used of attempts to buy or take control of a business),unsolicited and resisted by the management of the target company (used of attempts to buy or take control of a business),FALSE,TRUE,FALSE,
ewn-00085379-v,administer an oil or ointment to ; often in a religious ceremony of blessing,administer an oil or ointment to; often in a religious ceremony of blessing,administer an oil or ointment to; often in a religious ceremony of blessing,FALSE,TRUE,FALSE,
ewn-00098871-n,"a speaker's actual use of language in real situations; what the speaker actually says, including grammatical errors and other non linguistic features such as hesitations and other disfluencies (contrasted with linguistic competence)","(linguistics) a speaker's actual use of language in real situations; what the speaker actually says, including grammatical errors and other non-linguistic features such as hesitations and other disfluencies (contrasted with linguistic competence)","a speaker's actual use of language in real situations; what the speaker actually says, including grammatical errors and other non-linguistic features such as hesitations and other disfluencies (contrasted with linguistic competence)",FALSE,TRUE,FALSE,
ewn-00157777-r,(of drugs) through the mouth rather than through injection; by_mouth,(of drugs) through the mouth rather than through injection; by mouth,(of drugs) through the mouth rather than through injection; by mouth,FALSE,TRUE,FALSE,
ewn-00200994-r,"in fear, ""she hurried down the stairs fearfully""",in fear,"in fear,",FALSE,TRUE,FALSE,
ewn-00236085-v,"restrict or confine, ""I limit you to two visits to the pub a day""",restrict or confine within limits,"restrict or confine,",FALSE,TRUE,FALSE,
ewn-00264568-v,"to swell or cause to enlarge, ""Her faced puffed up from the drugs""",to swell or cause to enlarge,"to swell or cause to enlarge,",FALSE,TRUE,FALSE,
ewn-00275591-r,in_an_arch_manner; with playful slyness or roguishness,in an arch manner; with playful slyness or roguishness,in an arch manner; with playful slyness or roguishness,FALSE,TRUE,FALSE,
ewn-00281193-r,"like a boor, ""he behaved boorishly at the party""",like a boor,"like a boor,",FALSE,TRUE,FALSE,
ewn-00344258-s,"impossible to avoid or evade:""inescapable conclusion""",impossible to avoid or evade,impossible to avoid or evade:,FALSE,TRUE,FALSE,
ewn-00381131-r,"with inspiration; in an inspiring manner ,",with inspiration; in an inspiring manner,"with inspiration; in an inspiring manner,",FALSE,TRUE,FALSE,
ewn-00387850-r,at a distant time in the past (chiefly Scottish,at a distant time in the past (chiefly Scottish),at a distant time in the past,FALSE,FALSE,TRUE,
ewn-00421914-r,"through chance, ""To sleep, perchance to dream..""",through chance,"through chance,",FALSE,TRUE,FALSE,
ewn-00596529-v,keep informed of fully aware,keep informed or fully aware,keep informed and fully aware,FALSE,TRUE,FALSE,
ewn-00634639-s,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth ; strictly correct","(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct","(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct",FALSE,TRUE,FALSE,
ewn-00714186-s,"(of persons) ""his father was a hard-to-please taskmaster""",(of persons) fussy and demanding,(of persons),FALSE,TRUE,FALSE,
ewn-00746762-v,"cause to speak, ""Can you draw her out--she is always so quiet""",cause to speak,"cause to speak,",FALSE,TRUE,FALSE,
ewn-00873067-v,"to utter intentions of injury or punishment against:""He threatened me when I tried to call the police""",to utter intentions of injury or punishment against,to utter intentions of injury or punishment against:,FALSE,TRUE,FALSE,
ewn-00873444-v,"to be a menacing indication of something:""The clouds threaten rain""",to be a menacing indication of something,to be a menacing indication of something:,FALSE,TRUE,FALSE,
ewn-00951721-s,"originating or belonging beyond some bounds:""the outside world""",originating or belonging beyond some bounds,originating or belonging beyond some bounds:,FALSE,TRUE,FALSE,
ewn-00984945-v,"inflect for number, gender, case, etc., ""in many languages, speakers decline nouns, pronouns, and adjectives""","inflect for number, gender, case, etc.","inflect for number, gender, case, etc.,",FALSE,TRUE,FALSE,
ewn-01072990-v,printing: direct that a matter marked for omission or correction is to be retained,printing: direct that a matter marked for omission or correction is to be retained (used in the imperative),direct that a matter marked for omission or correction is to be retained,FALSE,FALSE,TRUE,
ewn-01099720-v,"join a club, an activity, etc. with the intention to join or participate, ""Sign up for yoga classes""","join a club, an activity, etc. with the intention to join or participate","join a club, an activity, etc. with the intention to join or participate,",FALSE,TRUE,FALSE,
ewn-01119860-s,,(used informally especially for emphasis) real or genuine,(used informally especially for emphasis);,FALSE,TRUE,FALSE,
ewn-01144916-v,hunting: chase from cover into more open ground,(hunting) chase from cover into more open ground,chase from cover into more open ground,FALSE,TRUE,FALSE,
ewn-01145082-v,hunting: search for game,(hunting) search for game,search for game,FALSE,TRUE,FALSE,
ewn-01160432-a,produced with the back of the tongue raised toward the hard palate; characterized by a hissing or hushing sound (as s and sh),(of speech sounds); produced with the back of the tongue raised toward the hard palate; characterized by a hissing or hushing sound (as `s' and `sh'),produced with the back of the tongue raised toward the hard palate; characterized by a hissing or hushing sound (as `s' and `sh'),FALSE,TRUE,FALSE,
ewn-01183965-n,the administration of justice according to established rules and principles; based on the principle that a person can not be deprived of life or liberty or property without appropriate legal procedures and safeguards,(law) the administration of justice according to established rules and principles; based on the principle that a person cannot be deprived of life or liberty or property without appropriate legal procedures and safeguards,the administration of justice according to established rules and principles; based on the principle that a person cannot be deprived of life or liberty or property without appropriate legal procedures and safeguards,FALSE,TRUE,FALSE,
ewn-01220344-v,"fold into pleats, ""Pleat the cloth""",fold into pleats,"fold into pleats,",FALSE,TRUE,FALSE,
ewn-01241204-v,"deliver a sharp blow or push :""He knocked the glass clear across the room""",deliver a sharp blow or push,deliver a sharp blow or push :,FALSE,TRUE,FALSE,
ewn-01411414-v,"propel, ""Carry the ball""",propel,"propel,",FALSE,TRUE,FALSE,
ewn-01558903-a,small in quantity or degree; not much or almost none or (with `a') at least some,(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some,"small in quantity or degree; not much or almost none or (with `a') at least some; quantifier, singular pronoun",FALSE,TRUE,FALSE,
ewn-01603794-v,"drive away by hitting with one's ball, ""croquet the opponent's ball""",drive away by hitting with one's ball,"drive away by hitting with one's ball,",FALSE,TRUE,FALSE,
ewn-01655681-v,"bring forth, ""The apple tree bore delicious apples this year""",bring forth,"bring forth,",FALSE,TRUE,FALSE,
ewn-01681111-s,extraordinarily good or great ; used especially as intensifiers,extraordinarily good or great; used especially as intensifiers,extraordinarily good or great; used especially as intensifiers,FALSE,TRUE,FALSE,
ewn-01685966-s,"set down according to a plan:""a carefully laid table with places set for four people""",set down according to a plan,set down according to a plan:,FALSE,TRUE,FALSE,
ewn-01707313-v,"render verbally, ""recite a poem""",render verbally,"render verbally,",FALSE,TRUE,FALSE,
ewn-01852738-s,"being present (at meeting or event etc.) ""attendant members of the congreation""","being present (at a meeting or event, etc.)",being present (at meeting or event etc.),FALSE,TRUE,FALSE,
ewn-01870016-v,"roll around, ""pigs were wallowing in the mud""",roll around,"roll around,",FALSE,TRUE,FALSE,
ewn-01875972-v,"move with force, ""He pushed the table into a corner""",move with force,"move with force,",FALSE,TRUE,FALSE,
ewn-01898157-v,"to begin moving, ""As the thunder started the sleeping children began to stir""",to begin moving,"to begin moving,",FALSE,TRUE,FALSE,
ewn-01973223-v,"travel up, ""We ascended the mountain""",travel up,"travel up,",FALSE,TRUE,FALSE,
ewn-01993887-v,"go under, ""The raft sank and its occupants drowned""",go under,"go under,",FALSE,TRUE,FALSE,
ewn-02026014-v,"reach a goal, e.g., ""make the first team""",reach a goal,"reach a goal,",FALSE,TRUE,FALSE,
ewn-02115034-v,"undergo passive experience of:""We felt the effects of inflation""",undergo passive experience of,undergo passive experience of:,FALSE,TRUE,FALSE,
ewn-02158330-n,a two walled cuplike depression that develops into the pigmented and sensory layers of the retina,(embryology) a two-walled cuplike depression that develops into the pigmented and sensory layers of the retina,a two-walled cuplike depression that develops into the pigmented and sensory layers of the retina,FALSE,TRUE,FALSE,
ewn-02491919-n,capuchin; douroucouli; howler monkey; saki; spider monkey; squirrel monkey; titi; uakari; woolly monkey; marmoset; tamarin,New World monkeys: capuchin; douroucouli; howler monkey; saki; spider monkey; squirrel monkey; titi; uakari; woolly monkey; marmoset; tamarin,capuchin; douroucouli; howler monkey; saki; spider monkey; squirrel monkey; titi; uakari; woolly monkey,FALSE,TRUE,FALSE,
ewn-02499315-v,forbid the public distribution of ( a movie or a newspaper),forbid the public distribution of (a movie or a newspaper),forbid the public distribution of (a movie or a newspaper),FALSE,TRUE,FALSE,
ewn-02510211-v,"to cause to do through pressure or necessity, by physical, moral or intellectual means :""She forced him to take a job in the city""","to cause to do through pressure or necessity, by physical, moral or intellectual means","to cause to do through pressure or necessity, by physical, moral or intellectual means :",FALSE,TRUE,FALSE,
ewn-02627475-v,"to compose or represent:""This wall forms the background of the stage setting""",to compose or represent,to compose or represent:,FALSE,TRUE,FALSE,
ewn-02670723-n,an abortion-inducing drug (trade name RU_486) developed in France; when taken during the first five weeks of pregnancy it blocks the action of progesterone so that the uterus sloughs off the embryo,an abortion-inducing drug (trade name RU 486) developed in France; when taken during the first five weeks of pregnancy it blocks the action of progesterone so that the uterus sloughs off the embryo,an abortion-inducing drug (trade name RU 486) developed in France; when taken during the first five weeks of pregnancy it blocks the action of progesterone so that the uterus sloughs off the embryo,FALSE,TRUE,FALSE,
ewn-02687605-v,"keep in a certain state, position, or activity; e.g. ,","cause to continue in a certain state, position, or activity; e.g., `keep clean'","keep in a certain state, position, or activity; e.g.,",FALSE,FALSE,FALSE,"cause to continue in a certain state, position, or activity"
ewn-02716988-v,"close in; darkness enclosed him""",close in,close in; darkness enclosed him,FALSE,TRUE,FALSE,
ewn-03030315-a,"relating to or involving classification:""classificatory criteria""",relating to or involving classification,relating to or involving classification:,FALSE,TRUE,FALSE,
ewn-03191952-n,a small temporary window in a graphical user interface that appears in order to request information from the user; after the information has been provided the user dismisses the box with okay or cancel,(computer science) a small temporary window in a graphical user interface that appears in order to request information from the user; after the information has been provided the user dismisses the box with `okay' or `cancel',a small temporary window in a graphical user interface that appears in order to request information from the user; after the information has been provided the user dismisses the box with `okay' or `cancel',FALSE,TRUE,FALSE,
ewn-03209242-n,one of a set of small on off switches mounted in computer hardware; used in place of jumpers to configure the machine for a user,(computer science) one of a set of small on-off switches mounted in computer hardware; used in place of jumpers to configure the machine for a user,one of a set of small on-off switches mounted in computer hardware; used in place of jumpers to configure the machine for a user,FALSE,TRUE,FALSE,
ewn-03299533-n,a read only memory chip that can be erased by ultraviolet light and programmed again with new data,(computer science) a read-only memory chip that can be erased by ultraviolet light and programmed again with new data,a read-only memory chip that can be erased by ultraviolet light and programmed again with new data,FALSE,TRUE,FALSE,
ewn-03555600-n,an encampment of huts (chiefly military,an encampment of huts (chiefly military),an encampment of huts,FALSE,TRUE,FALSE,
ewn-03914027-n,an enclosed bench to the side of an ice hockey rink for players who are serving time penalties,(ice hockey) an enclosed bench to the side of an ice-hockey rink for players who are serving time penalties,an enclosed bench to the side of an ice-hockey rink for players who are serving time penalties,FALSE,TRUE,FALSE,
