Key,Old Definition (NTU),Old Definition (EWN),New Definition,NTU,EWN,New,Other
ewn-04057712-n,a virtual drive that is created by setting aside part of the random access memory to use as if it were a group of sectors,(computer science) a virtual drive that is created by setting aside part of the random-access memory to use as if it were a group of sectors,a virtual drive that is created by setting aside part of the random-access memory to use as if it were a group of sectors,FALSE,TRUE,FALSE,
ewn-04065351-n,memory whose contents can be accessed and read but can not be changed,(computer science) memory whose contents can be accessed and read but cannot be changed,memory whose contents can be accessed and read but cannot be changed,FALSE,TRUE,FALSE,
ewn-04109256-n,an in line skate,(trademark) an in-line skate,an in-line skate,FALSE,TRUE,FALSE,
ewn-04545214-n,memory created by using the hard disk to simulate additional random access memory; the addressable storage space available to the user of a computer system in which virtual addresses are mapped into real addresses,(computer science) memory created by using the hard disk to simulate additional random-access memory; the addressable storage space available to the user of a computer system in which virtual addresses are mapped into real addresses,memory created by using the hard disk to simulate additional random-access memory; the addressable storage space available to the user of a computer system in which virtual addresses are mapped into real addresses,FALSE,TRUE,FALSE,
ewn-04792642-n,an attribute of a logical system that is so constituted that a contradiction arises if any proposition is introduced that can not be derived from the axioms of the system,(logic) an attribute of a logical system that is so constituted that a contradiction arises if any proposition is introduced that cannot be derived from the axioms of the system,an attribute of a logical system that is so constituted that a contradiction arises if any proposition is introduced that cannot be derived from the axioms of the system,FALSE,TRUE,FALSE,
ewn-05027185-n,a curve representing the output to input ratio of a transducer as a function of frequency,(electronics) a curve representing the output-to-input ratio of a transducer as a function of frequency,a curve representing the output-to-input ratio of a transducer as a function of frequency,FALSE,TRUE,FALSE,
ewn-05534035-n,the male organ of copulation (`member' is a euphemism),the male sex organ,the male organ of copulation,FALSE,TRUE,FALSE,
ewn-05899570-n,a theory that involves an eleven dimensional universe in which the weak and strong forces and gravity are unified and to which all the string theories belong,(particle physics) a theory that involves an eleven-dimensional universe in which the weak and strong forces and gravity are unified and to which all the string theories belong,a theory that involves an eleven-dimensional universe in which the weak and strong forces and gravity are unified and to which all the string theories belong,FALSE,TRUE,FALSE,
ewn-05939938-n,a geometric pattern that is repeated at every scale and so can not be represented by classical geometry,(mathematics) a geometric pattern that is repeated at every scale and so cannot be represented by classical geometry,a geometric pattern that is repeated at every scale and so cannot be represented by classical geometry,FALSE,TRUE,FALSE,
ewn-05979622-n,a 20th century philosophical movement chiefly in Europe; assumes that people are entirely free and thus responsible for what they make of themselves,(philosophy) a 20th-century philosophical movement chiefly in Europe; assumes that people are entirely free and thus responsible for what they make of themselves,a 20th-century philosophical movement chiefly in Europe; assumes that people are entirely free and thus responsible for what they make of themselves,FALSE,TRUE,FALSE,
ewn-06005513-n,the concept that a just noticeable difference in a stimulus is proportional to the magnitude of the original stimulus,(psychophysics) the concept that a just-noticeable difference in a stimulus is proportional to the magnitude of the original stimulus,the concept that a just-noticeable difference in a stimulus is proportional to the magnitude of the original stimulus,FALSE,TRUE,FALSE,
ewn-06016395-n,a non Euclidean geometry in which the parallel axiom is replaced by the assumption that through any point in a plane there are two or more lines that do not intersect a given line in the plane,(mathematics) a non-Euclidean geometry in which the parallel axiom is replaced by the assumption that through any point in a plane there are two or more lines that do not intersect a given line in the plane,a non-Euclidean geometry in which the parallel axiom is replaced by the assumption that through any point in a plane there are two or more lines that do not intersect a given line in the plane,FALSE,TRUE,FALSE,
ewn-06016730-n,a non Euclidean geometry that regards space as like a sphere and a line as like a great circle,(mathematics) a non-Euclidean geometry that regards space as like a sphere and a line as like a great circle,a non-Euclidean geometry that regards space as like a sphere and a line as like a great circle,FALSE,TRUE,FALSE,
ewn-06313371-n,a word that expresses a quantity (as fifteen or many),(grammar) a word that expresses a quantity (as `fifteen' or `many'),a word that expresses a quantity (as `fifteen' or `many'),FALSE,TRUE,FALSE,
ewn-06313532-n,a word (such as some or all or no) that binds the variables in a logical proposition,(logic) a word (such as `some' or `all' or `no') that binds the variables in a logical proposition,a word (such as `some' or `all' or `no') that binds the variables in a logical proposition,FALSE,TRUE,FALSE,
ewn-06369221-n,coded instructions that are stored permanently in read only memory,(computer science) coded instructions that are stored permanently in read-only memory,coded instructions that are stored permanently in read-only memory,FALSE,TRUE,FALSE,
ewn-06397077-n,a Latin versicle meaning lift up your hearts,(Roman Catholic Church) a Latin versicle meaning `lift up your hearts',a Latin versicle meaning `lift up your hearts',FALSE,TRUE,FALSE,
ewn-06442826-n,the sacred song of God composed about 200 BC and incorporated into the Mahabharata (a Sanskrit epic); contains a discussion between Krishna and the Indian hero Arjuna on human nature and the purpose of life,(Hinduism) the sacred `song of God' composed about 200 BC and incorporated into the Mahabharata (a Sanskrit epic); contains a discussion between Krishna and the Indian hero Arjuna on human nature and the purpose of life,the sacred `song of God' composed about 200 BC and incorporated into the Mahabharata (a Sanskrit epic); contains a discussion between Krishna and the Indian hero Arjuna on human nature and the purpose of life,FALSE,TRUE,FALSE,
ewn-06478150-n,literally a sacred utterance in Vedism; one of a collection of orally transmitted poetic hymns,(Sanskrit) literally a `sacred utterance' in Vedism; one of a collection of orally transmitted poetic hymns,literally a `sacred utterance' in Vedism; one of a collection of orally transmitted poetic hymns,FALSE,TRUE,FALSE,
ewn-06521201-n,a file maintained in computer readable form,(computer science) a file maintained in computer-readable form,a file maintained in computer-readable form,FALSE,TRUE,FALSE,
ewn-06521666-n,a computer file containing machine readable information that must be read by an application; characters use all 8 bits of each byte,(computer science) a computer file containing machine-readable information that must be read by an application; characters use all 8 bits of each byte,a computer file containing machine-readable information that must be read by an application; characters use all 8 bits of each byte,FALSE,TRUE,FALSE,
ewn-06522827-n,a file that you can read but can not change,(computer science) a file that you can read but cannot change,a file that you can read but cannot change,FALSE,TRUE,FALSE,
ewn-06522968-n,a computer file that contains text (and possibly formatting instructions) using seven bit ASCII characters,(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters,a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters,FALSE,TRUE,FALSE,
ewn-06572930-n,an answer of no contest by a defendant who does not admit guilt but that subjects him to conviction,(law) an answer of `no contest' by a defendant who does not admit guilt but that subjects him to conviction,an answer of `no contest' by a defendant who does not admit guilt but that subjects him to conviction,FALSE,TRUE,FALSE,
ewn-07016684-n,a single drawing in a comic_strip,a single drawing in a comic strip,a single drawing in a comic strip,FALSE,TRUE,FALSE,
ewn-07153212-n,"a report of a discourse in which deictic terms are modified appropriately (e.g., ""he said `I am a fool' would be modified to `he said he is a fool'"")","a report of a discourse in which deictic terms are modified appropriately (e.g., ""he said `I am a fool'"" would be modified to ""he said he is a fool"")",a report of a discourse in which deictic terms are modified appropriately,FALSE,TRUE,FALSE,
ewn-07447936-n,a ship devouring whirlpool lying on the other side of a narrow strait from Scylla,(Greek mythology) a ship-devouring whirlpool lying on the other side of a narrow strait from Scylla,a ship-devouring whirlpool lying on the other side of a narrow strait from Scylla,FALSE,TRUE,FALSE,
ewn-07704502-n,small oval cake of corn bread baked or fried (chiefly southern,small oval cake of corn bread baked or fried (chiefly southern),small oval cake of corn bread baked or fried,FALSE,TRUE,FALSE,
ewn-07704748-n,cornbread usually cooked pancake-style on a griddle (chiefly New England,cornbread usually cooked pancake-style on a griddle (chiefly New England),cornbread usually cooked pancake-style on a griddle,FALSE,TRUE,FALSE,
ewn-07709470-n,glazed yeast raised doughnut-shaped roll with hard crust,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust,glazed yeast-raised doughnut-shaped roll with hard crust,FALSE,TRUE,FALSE,
ewn-08162561-n,"a local branch where postal services are available""",a local branch where postal services are available,a local branch where postal services are available,FALSE,TRUE,FALSE,
ewn-08168750-n,the followers of one of several millenarian cults that believe salvation will come in the form of wealth (cargo) brought by westerners; some ascribe divine attributes to westerners on first contact (especially to missionaries),(Melanesia) the followers of one of several millenarian cults that believe salvation will come in the form of wealth (`cargo') brought by westerners; some ascribe divine attributes to westerners on first contact (especially to missionaries),the followers of one of several millenarian cults that believe salvation will come in the form of wealth (`cargo') brought by westerners; some ascribe divine attributes to westerners on first contact (especially to missionaries),FALSE,TRUE,FALSE,
ewn-08197402-n,the segment of the public that is easily influenced by mass media (chiefly British,the segment of the public that is easily influenced by mass media (chiefly British),the segment of the public that is easily influenced by mass media,FALSE,TRUE,FALSE,
ewn-09282652-n,a waterway used by small boats to travel between the Atlantic Ocean and the Gulf of Mexico through Lake Okeechobee and the Caloosahatchee_Canal and the Caloosahatchee River,a waterway used by small boats to travel between the Atlantic Ocean and the Gulf of Mexico through Lake Okeechobee and the Caloosahatchee Canal and the Caloosahatchee River,a waterway used by small boats to travel between the Atlantic Ocean and the Gulf of Mexico through Lake Okeechobee and the Caloosahatchee Canal and the Caloosahatchee River,FALSE,TRUE,FALSE,
ewn-09516335-n,the three headed dog guarding the entrance to Hades; son of Typhon,(Greek mythology) the three-headed dog guarding the entrance to Hades; son of Typhon,the three-headed dog guarding the entrance to Hades; son of Typhon,FALSE,TRUE,FALSE,
ewn-09516693-n,fire breathing female monster with a lion's head and a goat's body and a serpent's tail; daughter of Typhon,(Greek mythology) fire-breathing female monster with a lion's head and a goat's body and a serpent's tail; daughter of Typhon,fire-breathing female monster with a lion's head and a goat's body and a serpent's tail; daughter of Typhon,FALSE,TRUE,FALSE,
ewn-09568129-n,one of the dark eyed virgins of perfect beauty believed to live with the blessed in Paradise,(Islam) one of the dark-eyed virgins of perfect beauty believed to live with the blessed in Paradise,one of the dark-eyed virgins of perfect beauty believed to live with the blessed in Paradise,FALSE,TRUE,FALSE,
ewn-09620972-n,a tragic king of Thebes who unknowingly killed his father Laius and married his mother Jocasta; the subject of the drama Oedipus Rex by Sophocles,(Greek mythology) a tragic king of Thebes who unknowingly killed his father Laius and married his mother Jocasta; the subject of the drama `Oedipus Rex' by Sophocles,a tragic king of Thebes who unknowingly killed his father Laius and married his mother Jocasta; the subject of the drama `Oedipus Rex' by Sophocles,FALSE,TRUE,FALSE,
ewn-10238060-n,"son of Isaac; brother of Esau; father of the twelve patriarchs of Israel; Jacob wrestled with God and forced God to bless him, so God gave Jacob the new name of Israel (meaning one who has been strong against God)","(Old Testament) son of Isaac; brother of Esau; father of the twelve patriarchs of Israel; Jacob wrestled with God and forced God to bless him, so God gave Jacob the new name of Israel (meaning `one who has been strong against God')","son of Isaac; brother of Esau; father of the twelve patriarchs of Israel; Jacob wrestled with God and forced God to bless him, so God gave Jacob the new name of Israel (meaning `one who has been strong against God')",FALSE,TRUE,FALSE,
ewn-10360025-n,someone who plays a musical instrument (as a profession),someone who plays a music as a profession,"someone who plays a musical instrument, usually as a profession",FALSE,TRUE,FALSE,
ewn-10835252-n,Roman priest who became bishop of Milan; the first Church Father born and raised in the Christian faith; composer of hymns; imposed orthodoxy on the early Christian church and built up its secular power; a saint and Doctor of the Church (340? 397),(Roman Catholic Church) Roman priest who became bishop of Milan; the first Church Father born and raised in the Christian faith; composer of hymns; imposed orthodoxy on the early Christian church and built up its secular power; a saint and Doctor of the Church (340?-397),Roman priest who became bishop of Milan; the first Church Father born and raised in the Christian faith; composer of hymns; imposed orthodoxy on the early Christian church and built up its secular power; a saint and Doctor of the Church (340?-397),FALSE,TRUE,FALSE,
ewn-10840394-n,Italian theologian and Doctor of the Church who is remembered for his attempt to reconcile faith and reason in a comprehensive theology; presented philosophical proofs of the existence of God (1225 1274),(Roman Catholic Church) Italian theologian and Doctor of the Church who is remembered for his attempt to reconcile faith and reason in a comprehensive theology; presented philosophical proofs of the existence of God (1225-1274),Italian theologian and Doctor of the Church who is remembered for his attempt to reconcile faith and reason in a comprehensive theology; presented philosophical proofs of the existence of God (1225-1274),FALSE,TRUE,FALSE,
ewn-10846759-n,"Greek patriarch of Alexandria who championed Christian orthodoxy against Arianism; a church father, saint, and Doctor of the Church (293 373)","(Roman Catholic Church) Greek patriarch of Alexandria who championed Christian orthodoxy against Arianism; a church father, saint, and Doctor of the Church (293-373)","Greek patriarch of Alexandria who championed Christian orthodoxy against Arianism; a church father, saint, and Doctor of the Church (293-373)",FALSE,TRUE,FALSE,
ewn-10848177-n,one of the great Fathers of the early Christian church; after a dramatic conversion to Christianity he became bishop of Hippo Regius in North Africa; St. Augustine emphasized man's need for grace (354 430),(Roman Catholic Church) one of the great Fathers of the early Christian church; after a dramatic conversion to Christianity he became bishop of Hippo Regius in North Africa; St. Augustine emphasized man's need for grace (354-430),one of the great Fathers of the early Christian church; after a dramatic conversion to Christianity he became bishop of Hippo Regius in North Africa; St. Augustine emphasized man's need for grace (354-430),FALSE,TRUE,FALSE,
ewn-10859617-n,archbishop of Canterbury from 1162 to 1170; murdered following his opposition to Henry II's attempts to control the clergy (1118 1170),(Roman Catholic Church) archbishop of Canterbury from 1162 to 1170; murdered following his opposition to Henry II's attempts to control the clergy (1118-1170),archbishop of Canterbury from 1162 to 1170; murdered following his opposition to Henry II's attempts to control the clergy (1118-1170),FALSE,TRUE,FALSE,
ewn-10860365-n,English monk and scholar (672 735),(Roman Catholic Church) English monk and scholar (672-735),English monk and scholar (672-735),FALSE,TRUE,FALSE,
ewn-10876082-n,Anglo-Saxon missionary who was sent to Frisia and Germany to spread the Christian faith; was martyred in Frisia (680 754),(Roman Catholic Church) Anglo-Saxon missionary who was sent to Frisia and Germany to spread the Christian faith; was martyred in Frisia (680-754),Anglo-Saxon missionary who was sent to Frisia and Germany to spread the Christian faith; was martyred in Frisia (680-754),FALSE,TRUE,FALSE,
ewn-10888567-n,a French cleric (born in Germany) who founded the Carthusian order in 1084 (1032 1101),(Roman Catholic Church) a French cleric (born in Germany) who founded the Carthusian order in 1084 (1032-1101),a French cleric (born in Germany) who founded the Carthusian order in 1084 (1032-1101),FALSE,TRUE,FALSE,
ewn-10943452-n,the 2nd king of the Israelites; as a young shepherd he fought Goliath (a giant Philistine warrior) and killed him by hitting him in the head with a stone flung from a sling; he united Israel with Jerusalem as its capital; many of the Psalms are attributed to David (circa 1000 962 BC),(Old Testament) the 2nd king of the Israelites; as a young shepherd he fought Goliath (a giant Philistine warrior) and killed him by hitting him in the head with a stone flung from a sling; he united Israel with Jerusalem as its capital; many of the Psalms are attributed to David (circa 1000-962 BC),the 2nd king of the Israelites; as a young shepherd he fought Goliath (a giant Philistine warrior) and killed him by hitting him in the head with a stone flung from a sling; he united Israel with Jerusalem as its capital; many of the Psalms are attributed to David (circa 1000-962 BC),FALSE,TRUE,FALSE,
ewn-10998094-n,an Italian and the Roman Catholic monk who founded the Franciscan order of friars (1181 1226),(Roman Catholic Church) an Italian and the Roman Catholic monk who founded the Franciscan order of friars (1181-1226),an Italian and the Roman Catholic monk who founded the Franciscan order of friars (1181-1226),FALSE,TRUE,FALSE,
ewn-11033872-n,an Italian pope distinguished for his spiritual and temporal leadership; a saint and Doctor of the Church (540? 604),(Roman Catholic Church) an Italian pope distinguished for his spiritual and temporal leadership; a saint and Doctor of the Church (540?-604),an Italian pope distinguished for his spiritual and temporal leadership; a saint and Doctor of the Church (540?-604),FALSE,TRUE,FALSE,
ewn-11035076-n,a church father known for his constant fight against perceived heresies; a saint and Doctor of the Church (329 391),(Roman Catholic Church) a church father known for his constant fight against perceived heresies; a saint and Doctor of the Church (329-391),a church father known for his constant fight against perceived heresies; a saint and Doctor of the Church (329-391),FALSE,TRUE,FALSE,
ewn-11069123-n,king of Judah who abolished idolatry (715 687 BC),(Old Testament) king of Judah who abolished idolatry (715-687 BC),king of Judah who abolished idolatry (715-687 BC),FALSE,TRUE,FALSE,
ewn-11102832-n,an Israelite prophet who is remembered for his angry lamentations (jeremiads) about the wickedness of his people (circa 626 587 BC),(Old Testament) an Israelite prophet who is remembered for his angry lamentations (jeremiads) about the wickedness of his people (circa 626-587 BC),an Israelite prophet who is remembered for his angry lamentations (jeremiads) about the wickedness of his people (circa 626-587 BC),FALSE,TRUE,FALSE,
ewn-11103054-n,one of the great Fathers of the early Christian Church whose major work was his translation of the Scriptures from Hebrew and Greek into Latin (which became the Vulgate); a saint and Doctor of the Church (347 420),(Roman Catholic Church) one of the great Fathers of the early Christian Church whose major work was his translation of the Scriptures from Hebrew and Greek into Latin (which became the Vulgate); a saint and Doctor of the Church (347-420),one of the great Fathers of the early Christian Church whose major work was his translation of the Scriptures from Hebrew and Greek into Latin (which became the Vulgate); a saint and Doctor of the Church (347-420),FALSE,TRUE,FALSE,
ewn-11106764-n,a Church Father who was a great preacher and bishop of Constantinople; a saint and Doctor of the Church (347 407),(Roman Catholic Church) a Church Father who was a great preacher and bishop of Constantinople; a saint and Doctor of the Church (347-407),a Church Father who was a great preacher and bishop of Constantinople; a saint and Doctor of the Church (347-407),FALSE,TRUE,FALSE,
ewn-11124666-n,"Danish philosopher who is generally considered. along with Nietzsche, to be a founder of existentialism (1813-1855)","Danish philosopher who is generally considered, along with Nietzsche, to be a founder of existentialism (1813-1855)","Danish philosopher who is generally considered along with Nietzsche, to be a founder of existentialism (1813-1855)",FALSE,TRUE,FALSE,
ewn-11222053-n,king of Chaldea who captured and destroyed Jerusalem and exiled the Israelites to Babylonia (630? 562 BC),(Old Testament) king of Chaldea who captured and destroyed Jerusalem and exiled the Israelites to Babylonia (630?-562 BC),king of Chaldea who captured and destroyed Jerusalem and exiled the Israelites to Babylonia (630?-562 BC),FALSE,TRUE,FALSE,
ewn-11526370-n,"the number of pixels per square inch on a computer generated display; the greater the resolution, the better the picture","(computer science) the number of pixels per square inch on a computer-generated display; the greater the resolution, the better the picture","the number of pixels per square inch on a computer-generated display; the greater the resolution, the better the picture",FALSE,TRUE,FALSE,
ewn-12164634-n,any of various cereal plants (especially the dominant crop of the region -- wheat in Great Britain or oats in Scotland and Ireland),(Great Britain) any of various cereal plants (especially the dominant crop of the region--wheat in Great Britain or oats in Scotland and Ireland),any of various cereal plants (especially the dominant crop of the region--wheat in Great Britain or oats in Scotland and Ireland),FALSE,TRUE,FALSE,
ewn-13281409-n,"quick or easy earnings, ""they are traders out to make a fast buck""",quick or easy earnings,"quick or easy earnings,",FALSE,TRUE,FALSE,
ewn-13454234-n,omission at the beginning of a word as in coon for raccoon or till for until,(linguistics) omission at the beginning of a word as in `coon' for `raccoon' or `till' for `until',omission at the beginning of a word as in `coon' for `raccoon' or `till' for `until',FALSE,TRUE,FALSE,
ewn-13516839-n,a defense mechanism that splits something you are ambivalent about into two representations -- one good and one bad,(psychiatry) a defense mechanism that splits something you are ambivalent about into two representations--one good and one bad,a defense mechanism that splits something you are ambivalent about into two representations--one good and one bad,FALSE,TRUE,FALSE,
ewn-13648260-n,a block (usually one sector) that can not reliably hold data,(computer science) a block (usually one sector) that cannot reliably hold data,a block (usually one sector) that cannot reliably hold data,FALSE,TRUE,FALSE,
ewn-13965156-n,"the state or degree of being ultimate; the final or most extreme in degree or size or time or distance ,",the state or degree of being ultimate; the final or most extreme in degree or size or time or distance,"the state or degree of being ultimate; the final or most extreme in degree or size or time or distance,",FALSE,TRUE,FALSE,
ewn-14479883-n,without clothing,without clothing (especially in the phrase `in the nude'),devoid of clothing,FALSE,TRUE,FALSE,
ewn-15160009-n,the time scale used in data processing when the time scale factor is greater than one,(simulation) the time scale used in data processing when the time-scale factor is greater than one,the time scale used in data processing when the time-scale factor is greater than one,FALSE,TRUE,FALSE,
ewn-15160210-n,the time scale used in data processing when the time scale factor is less than one,(simulation) the time scale used in data processing when the time-scale factor is less than one,the time scale used in data processing when the time-scale factor is less than one,FALSE,TRUE,FALSE,
ewn-15249089-n,a time period after which suits can not be brought,(law) a time period after which suits cannot be brought,a time period after which suits cannot be brought,FALSE,TRUE,FALSE,
ewn-10857514-n,the bishop of Caesarea who defended the Roman Catholic Church against the heresies of the 4th century; a saint and Doctor of the Church (329 379),(Roman Catholic Church) the bishop of Caesarea who defended the Roman Catholic Church against the heresies of the 4th century; a saint and Doctor of the Church (329-379),the bishop of Caesarea who defended the Roman Catholic Church against the heresies of the 4th century; a saint and Doctor of the Church (329-379 ),FALSE,TRUE,FALSE,
ewn-10958355-n,Spanish priest who founded an order whose members became known as Dominicans or Black Friars (circa 1170 1221),(Roman Catholic Church) Spanish priest who founded an order whose members became known as Dominicans or Black Friars (circa 1170-1221),Spanish priest who founded an order whose members became known as Dominicans or Black Friars (circa 1170-1221 ),FALSE,TRUE,FALSE,