Synset ID,Definition,Members,Previous Hypernyms,New Hypernym ID,New Hypernym Definition,New Hypernym Members,True Hypernym,Frame change,
00173351-v,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract","remove, take, take away, withdraw",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00234091-v,place limits on (extent or amount or access),"restrict, trammel, limit, bound, confine, throttle",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00346415-v,take the first step or steps in carrying out an action,"get down, begin, get, start out, start, set about, set out, commence",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00414801-v,take up residence and become established,"settle, locate",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00555375-v,throw into disorder,disrupt,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00572138-v,get rid of something abstract,"remove, take away",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01208316-v,be in direct physical contact with; make contact,"touch, adjoin, meet, contact",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01208838-v,"make physical contact with, come in contact with",touch,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01219607-v,be the physical support of; carry the weight of,"hold, support, sustain, hold up",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01318273-v,"try to locate or discover, or try to establish the existence of","search, seek, look for",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01335412-v,provide with a covering or cause to be covered,cover,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01357376-v,"connect, fasten, or put together two or more pieces","connect, link, tie, link up",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01377960-v,strike and dash about in a liquid,splash,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01399864-v,"give a beating to; subject to a beating, either as a punishment or as an act of aggression","beat, beat up, work over",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01477180-v,"release, as from one's grip","let go of, let go, release, relinquish",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01541851-v,"take in, also metaphorically","absorb, suck, imbibe, soak up, sop up, suck up, draw, take in, take up",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01566925-v,destroy completely; damage irreparably,"destroy, ruin",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00807038-v,be in accord; be in agreement,"agree, hold, concur, concord",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00922307-v,"find out, learn, or determine with certainty, usually by making an inquiry or other effort","determine, check, find out, see, ascertain, watch, learn",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01037402-v,"achieve harmony of opinion, feeling, or purpose",agree,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01072799-v,"begin to speak, understand, read, and write a language",begin,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02205200-v,give as a present; make a gift of,"give, gift, present",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02210054-v,take into one's possession,take,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02211401-v,conquer by force,take,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02214718-v,make use of or accept for some purpose,"take, accept",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02215637-v,come into the possession of something concrete or abstract,"get, acquire",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02228837-v,dispose of,"get rid of, remove",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02232523-v,give up with the intent of never claiming again,"abandon, give up",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02294039-v,be debited and credited to the proper bank accounts,clear,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02355171-v,relieve from,"rid, free, disembarrass",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience",,02110960-v,,perceive,,,
01818782-v,give moral or emotional strength to,"comfort, soothe, console, solace",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02418610-v,exert oneself by doing mental or physical work for a purpose or out of necessity; work,work,,02376902-v,make a great effort at a mental or physical task,exert,x,,
02414542-v,engage or hire for work,"hire, engage, employ",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02423521-v,engage in recreational activities rather than work; occupy oneself in a diversion,"play, recreate",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02566500-v,engage in,"make, do",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02574587-v,carry out or practice; as of jobs and professions,"practice, practise, exercise, do",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02621023-v,pursue a positive and satisfying existence,live,,02609706-v,,exist,x,,
01074673-v,compete for something; engage in a contest; measure oneself against others,"compete, vie, contend",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02265169-v,engage in the trade of,"trade, merchandise",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02439706-v,to take one's place in a military formation or line,fall in,,02399325-v,"assume, as of positions or roles","fill, take, occupy",x,,
02440987-v,remove the organization from,"disorganize, disorganise",,00126072-v,,change,x,,
02450790-v,"work in a specific place, with a specific subject, or in a specific function","be, follow",,02415985-v,be employed,"work, do work",x,,
02423786-v,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,play,02372362-v,02372362-v,"be engaged in an activity, often for no particular purpose other than pleasure",act,x,,
02424366-v,drive without any particular aim,drive around,02372362-v,02372362-v,"be engaged in an activity, often for no particular purpose other than pleasure",act,x,,
02424538-v,walk randomly,walk around,02372362-v,02372362-v,"be engaged in an activity, often for no particular purpose other than pleasure",act,x,,
02428446-v,allow the other (baseball) team to score,"give up, allow",,02427979-v,make it possible through a specific action or lack of action for something to happen,"let, allow, permit",x,,
02201537-v,allow to go out of sight or mind,lose,,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
01209769-v,to hold fast or prevent from moving,"trap, pin, immobilize, immobilise",,02446762-v,"take and maintain control over, often by violent means",hold,x,,
00415969-v,form a community,settle,,02453050-v,create (as an entity),"form, organize, organise",x,,
00020442-v,prevent from going to bed at night,keep up,,02455370-v,stop (someone or something) from doing something or being in a certain state,"prevent, keep",x,,
02149298-v,prevent from being seen or discovered,"hide, conceal",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00233707-v,prevent the action or expression of,"restrain, keep, keep back, hold back",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02136428-v,observe or determine by looking,watch,,02460829-v,follow with the eyes or the mind,"watch, observe, follow, watch over, keep an eye on",x,,
02378876-v,insist on having one's opinions and rights recognized,"assert, put forward",00010428-v,,,,,,
02382855-v,behave in a certain way towards others,deal,00010428-v,,,,,,
02524291-v,behave in a certain manner or have certain properties,walk around,00010428-v,,,,,,
02524849-v,behave affectedly or unnaturally in order to impress others,"pose, posture",00010428-v,,,,,,
01796002-v,be flustered; behave in a confused manner,fluster,00010428-v,,,,,,
00077122-v,manage not to throw up,keep down,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02664361-v,be verified or confirmed; pass inspection,"check, check out",,02530710-v,go successfully through a test or a selection process,"pass, make it",x,,
02627934-v,act as a barrier between; stand between,"separate, divide",,02531113-v,have an effect or outcome; often the one desired or expected,"work, act",,x,
01102003-v,fail to win,lose,,02534046-v,be unsuccessful,"fail, go wrong, miscarry",x,,
01240465-v,fail to reach,miss,,02534046-v,be unsuccessful,"fail, go wrong, miscarry",x,,
02529187-v,fail to get a passing grade,"fail, flunk, bomb, flush it",,02534950-v,fail to do something; leave something undone,"fail, neglect",x,,
02674312-v,fail to agree with; be in violation of; as of rules or patterns,"violate, go against, break",,02669219-v,,contradict,x,,
02677550-v,"fail to satisfy, as of expectations, for example",fall short of,,02534950-v,fail to do something; leave something undone,"fail, neglect",x,,
02123706-v,fail to notice,ignore,,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02132318-v,fail to perceive or to catch with the senses or the mind,"miss, lose",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
00617843-v,fail to attend to,neglect,,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02292634-v,"fail to keep or to maintain; cease to have, either physically or in an abstract sense",lose,,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02293000-v,fail to get or obtain,lose,,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02293733-v,fail to make money in a business; make a loss or fail to profit,"lose, turn a loss",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02538552-v,"try something new, as in order to gain experience","experiment, try out",,02535833-v,make an effort or attempt,"try, seek, attempt, essay, assay",x,,
00077211-v,make an unsuccessful effort to vomit; strain to vomit,"gag, heave, retch",,01835473-v,,move,x,,
02584957-v,conform one's action or practice to,"observe, keep",,02547977-v,"act in accordance with someone's rules, commands, or wishes","comply, follow, abide by",x,,
02545454-v,look after a child until it is an adult,"rear, raise, bring up, nurture, parent",,02555993-v,provide care for,"care, give care",x,,
02557299-v,save from sins,"deliver, redeem, save",,02557529-v,bring into safety,"save, carry through, pull through, bring through",x,,
01746607-v,foster the growth of,cultivate,,02560130-v,promote the growth of,"foster, further",x,,
00099475-v,do physical exercise,"exercise, work out",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
00619438-v,to make a mistake or be incorrect,"err, mistake, slip",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
01903010-v,give the calls (to the dancers) for a square dance,"call, call off",,02568816-v,emit or utter,give,x,,
02422604-v,be idle; exist in a changeless situation,"idle, laze, slug, stagnate",,02372362-v,,act,x,,
02383421-v,"be inactive, as if asleep",lie dormant,,02740213-v,,lie,x,,
02411715-v,be the successor (of),"succeed, come after, follow",,00343467-v,,come,,x,
02412896-v,be the predecessor of,"precede, come before",,00343467-v,,come,,x,
02415985-v,be employed,"work, do work",,02376902-v,,exert,x,,
02417219-v,be relieved of one's duties temporarily,get off,,02686624-v,,stop,x,,
02479313-v,be guided by in voting,vote,,00676526-v,,choose,x,,
02527985-v,fall short in what is expected,fail,,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02534046-v,be unsuccessful,"fail, go wrong, miscarry",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02587760-v,be the defense counsel for someone in a trial,"defend, represent",,01621566-v,advance or set forth in court,"institute, bring",x,,
02601837-v,"be inactive, refrain from acting",rest,,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02605525-v,be unable,fail,,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02609706-v,"have an existence, be extant","exist, be",,,,,,,Top-level concept
02622439-v,be identical to; be someone or something,be,,02681865-v,,pertain,,,Top-level concept
02636270-v,have as a feature,"have, feature",,02208144-v,,have,,,
02638434-v,be without,"miss, lack",,,,,,,Top-level concept
02638919-v,be absent,miss,,02609706-v,,exist,x,,
02650318-v,"be larger in number, quantity, power, status or importance","predominate, dominate, rule, reign, prevail",,02382049-v,,interact,x,,
02659957-v,be awarded; be allotted,go,,02225243-v,,transfer,x,,
02661230-v,occupy a certain position or area; be somewhere,be,,02609706-v,,exist,x,,
02669057-v,"be similar, be in line with",conform,,02663315-v,,correspond,x,,
02669926-v,"be dependent on, as for support or maintenance","depend on, rely on",,02634015-v,,require,x,,
02670846-v,be identical or equivalent to,"equal, be",,02622439-v,,be,,,Top-level concept
02671069-v,be tantamount or equivalent to,amount,,02670846-v,be identical or equivalent to,"equal, be",x,,
02675266-v,be greater in scope or size than some standard,"exceed, transcend, surpass",,02663315-v,,correspond,,,
02681865-v,be relevant to,"refer, pertain, relate, concern, come to, bear on, touch, touch on, have to do with",,,,,,,Top-level concept
02684248-v,be on the mind of,"concern, interest, occupy, worry",,00630153-v,,think,x,,
02685037-v,"be the first item or point, constitute the beginning or start, come first in a series",begin,,02609706-v,,exist,x,,
02693227-v,be ahead of others; be the first,"lead, top",,02609706-v,,exist,x,,
02706632-v,be contained in,go,,00643760-v,,divide,x,,
02711692-v,be noncommittal,straddle,,00633399-v,,think,x,,
02713289-v,be applicable to; as to an analysis,"lend oneself, apply",,02663315-v,,correspond,x,,
02716276-v,be adjacent or come together,"converge, meet",,02009962-v,,come,x,,
02717862-v,be contingent on,"depend on, devolve on, depend upon, ride, turn on, hinge on, hinge upon",,02634015-v,,require,x,,
02718318-v,be earlier in time; go back further,"predate, precede, forego, forgo, antecede, antedate",,02412896-v,,come before,x,,
02718647-v,be later in time,"postdate, follow",,02726229-v,,come after,x,,
02722040-v,be present or associated with an event or entity,"attach to, accompany, come with, go with",,02382049-v,,interact,,,
02724891-v,be in a huff and display one's displeasure,"sulk, pout, brood",,01775456-v,,feel,x,,
02725805-v,be a part or adjunct,"belong to, belong",,02681865-v,,pertain,,,Top-level concept
02742134-v,be used or required for,go into,,02561616-v,,contribute,x,,
02743062-v,"come from; be connected by a relationship of blood, for example","derive, come, descend",,02463535-v,,relate,x,,
02746620-v,be confronted with,have,,02110960-v,,perceive,x,,
02746734-v,be sufficiently competent in a certain situation,hold one's own,,02529837-v,,succeed,x,,
02746878-v,be exhibited,hang,,00426920-v,,appear,x,,
02747024-v,"have a range; be capable of projecting over a certain distance, as of a gun",range,,02727159-v,,go,x,,
90001891-v,to be temporarily popular,trend,,01382787-v,,spread,x,,
02764784-v,"be very cold, below the freezing point",freeze,,00122978-v,,change,x,,
01190875-v,"be sated, have enough to eat",be full,,,,,,,Delete
01852297-v,be stationary,stay in place,,02661230-v,,be,x,,
01948111-v,"be suspended in the air, as if in defiance of gravity","levitate, hover",,01944262-v,,fly,x,,
02103242-v,be or come between,interpose,,00343467-v,,come,x,,
00014542-v,be in a state of action,"be active, move",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
00020126-v,"be awake, be alert, be there",wake,,00122978-v,,change,x,,
00052091-v,be dressed in,"wear, have on",,02208144-v,,have,x,,
00057124-v,be in confinement for childbirth,lie in,,02696550-v,,lie,x,,
02194523-v,be unbearably loud,deafen,,02180712-v,,sound,x,,Suspicious verb sense
00593432-v,be received or understood,"resonate, come across",,00744289-v,,pass,x,,
00595453-v,be understanding of,"sympathize, sympathise, empathize, empathise, understand",,01775456-v,,feel,x,,
00595732-v,be familiar or acquainted with a person or an object,know,,00596016-v,,know,x,,
00596900-v,be ignorant of or in the dark about,ignore,,02638434-v,,lack,,x,
00597330-v,know how to do or perform something,know,,00596016-v,,know,x,,
00602976-v,be immersed in,welter,,01571714-v,,surround,,x,
00608800-v,be a student; follow a course of study; be enrolled at an institute of learning,study,,02376902-v,,exert,x,,
00610362-v,be capable of conscious thought,think,,02609706-v,,exist,x,,
00360745-v,be survived by after one's death,"leave, leave behind",,00615374-v,,leave,x,,
01436773-v,be accompanied by,bring,,02081903-v,,bring,x,,
01484449-v,be placed in position as by a hinge,hang,,02661230-v,,be,x,,
01484587-v,be suspended or poised,hang,,02661230-v,,be,x,,
01484705-v,be suspended or hanging,hang,,02661230-v,,be,x,,
01545905-v,be in a position in which one's upper body is largely upright and supported by one's backside,"sit, sit down",,01548665-v,,rest,x,,
01549783-v,"be lying, be prostrate; be in a horizontal position",lie,,01548665-v,,rest,x,,
00806464-v,be of different opinions,"disagree, differ, dissent, take issue",,00630153-v,,think,x,,
00820635-v,be emphatic or resolute and refuse to budge,"insist, take a firm stand",,00630153-v,,think,x,,
00933814-v,denote or connote,"mean, intend, signify, stand for",,00833312-v,,inform,x,,
00937173-v,be made known; be disclosed or revealed,"out, come out",,00427534-v,,emerge,x,,
00938019-v,be released or become known; of news,"break, get out, get around",,00427534-v,,emerge,x,,
00975760-v,be broadcast,air,,00426920-v,,appear,x,,
01031401-v,be called; go by a certain name,"go by, go under",,01161188-v,,use,,,
02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold",,,,,,Top-level concept,
02258963-v,be obliged to pay or repay,owe,,02463535-v,,relate,,,
01780873-v,be fond of,like,,00595732-v,,know,x,,
01784253-v,be uneasy or apprehensive about,fear,,00595732-v,,know,x,,
01811849-v,be attractive to,"attract, appeal",,01771801-v,,affect,x,,
02693093-v,occur in soft rounded shapes,"roll, undulate",,02618403-v,to be found to exist,occur,x,,
02602272-v,attend a dance or a party without a female companion,stag,,02618797-v,"be present at (meetings, church services, university), etc.","attend, go to",x,,
02625819-v,live longer than,"outlive, outlast, survive",,02620216-v,"have life, be alive","be, live",x,,
00104622-v,eliminate (a substance),"exhaust, discharge, expel, eject, release",,02635337-v,get rid of something,"obviate, rid of, eliminate",x,,
02292463-v,miss from one's possessions; lose sight of,lose,,02638434-v,be without,"miss, lack",x,,
00561324-v,prove insufficient,"fail, run out, give out",,02615799-v,,stop,x,,
02646524-v,pause or hold back in uncertainty or unwillingness,"hesitate, waver, waffle",,02647119-v,interrupt temporarily an activity before continuing,"hesitate, pause",x,,
02483178-v,postpone indefinitely or annul something that was scheduled,"cancel, call off, scratch, scrub",,02648898-v,hold back to a later time,"postpone, prorogue, hold over, put over, table, shelve, set back, defer, remit, put off",x,,
02648694-v,postpone or delay needlessly,procrastinate,,02648898-v,hold back to a later time,"postpone, prorogue, hold over, put over, table, shelve, set back, defer, remit, put off",x,,
01533912-v,occupy a trench or secured area,"entrench, dig in",,02655144-v,occupy the whole of,"occupy, fill",x,,
02528887-v,carry on or function,"do, manage",,02685709-v,keep or maintain in unaltered condition; cause to remain or last,"continue, uphold, carry on, bear on, preserve",x,,
02431242-v,cease to operate or cause to cease operating,"close up, close, fold, shut down, close down",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
02436167-v,discontinue an association or relation; go different ways,"separate, part, split up, split, break, break up",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
02455370-v,stop (someone or something) from doing something or being in a certain state,"prevent, keep",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02679419-v,throw out of balance or equilibrium,unbalance,,00126072-v,,change,x,,
02767855-v,"put out, as of fires, flames, or lights","snuff out, blow out, extinguish, quench",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
00611721-v,dismiss from the mind; stop remembering,"forget, bury",,02292634-v,,lose,x,,
00614907-v,stop maintaining or insisting on; of ideas or claims,"abandon, give up",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
01085437-v,give up in the face of defeat of lacking hope; admit defeat,"drop out, give up, fall by the wayside, drop by the wayside, throw in, throw in the towel, quit, chuck up the sponge",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
01118865-v,cease opposition; stop fighting,yield,,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
01618895-v,stop using,"put away, put aside",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
02458316-v,keep from happening or arising; make impossible,"prevent, forestall, foreclose, preclude, forbid",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,,
02150244-v,"be or go into hiding; keep out of sight, as for protection and safety","hide, hide out",,02372362-v,,act,x,,
02151220-v,hold back; keep from being perceived by others,"conceal, hold back, hold in",,02687605-v,"cause to continue in a certain state, position, or activity","keep, maintain, hold",x,,
02203116-v,keep under surveillance,"surveil, follow, survey",,02173796-v,,observe,x,,
00613035-v,"call to remembrance; keep alive the memory of someone or something, as in a ceremony","commemorate, remember",,02584595-v,,observe,x,,
01116393-v,maintain a required pace or level,keep up,,02687605-v,"cause to continue in a certain state, position, or activity","keep, maintain, hold",x,,
00118572-v,keep informed,"keep up, keep abreast, follow",,02173796-v,,observe,x,,
02624202-v,continue to live and avoid dying,"survive, last, live, live on, go, endure, hold up, hold out",,02690747-v,"continue a certain state, condition, or activity","continue, go on, proceed, go along, keep",x,,
00813037-v,stay clear from; keep away from; keep out of the way of someone or something,avoid,,00798638-v,,reject,x,,
02715780-v,extend in a different direction,diverge,,02691775-v,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point","run, go, pass, lead, extend",x,,
01068455-v,"present somebody with something, usually to accuse or criticize","confront, face, present",,00775012-v,,present,,x,
02468933-v,refrain from doing something,avoid,,02731589-v,resist doing something,"refrain, forbear",,x,
00939649-v,refrain from divulging sensitive information; keep quiet about confidential information,"keep quiet, shut one's mouth, keep one's mouth shut",,02731589-v,resist doing something,"refrain, forbear",,x,
01042933-v,refuse to talk or stop talking; fall silent,"close up, clam up, dummy up, shut up, belt up, button up, be quiet, keep mum",,02731589-v,resist doing something,"refrain, forbear",,x,
01838427-v,remain in place; hold still; remain fixed or immobile,stand still,,02733337-v,"continue in a place, position, or situation","stay, stay on, continue, remain",x,,
01779986-v,to remain emotionally or intellectually attached,cling,,02543752-v,,attach,x,,
02252172-v,be sold for a certain price,"fetch, bring in, bring",,02733758-v,be sold at a certain price or in a certain way,sell,x,,
02202019-v,be perceived by,greet,,02736201-v,be beset by,"run into, encounter",,x,
02653900-v,endure,stick,01861378-v,01861378-v,stay behind,"persist, remain, stay",x,,
02737117-v,remain present although waning or gradually dying,linger,01861378-v,01861378-v,stay behind,"persist, remain, stay",x,,
02013215-v,remain behind,stay,,01861378-v,stay behind,"persist, remain, stay",x,,
02633747-v,come from,originate in,,02749089-v,be a native of,"hail, come",x,,
02776128-v,"rain, hail, or snow hard and be very windy, often with thunder or lightning",storm,,02762779-v,fall from clouds,"precipitate, come down, fall",x,,
02769698-v,"emit light; be bright, as of the sun or a light","shine, beam",,02773266-v,"give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.","emit, give out, give off",,x,
02139513-v,give off a certain sound or sounds,sound,,02773266-v,"give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.","emit, give out, give off",,x,
02663315-v,,,02670846-v,02622439-v,,be,,,
02753584-v,,continue,,00340744-v,,happen,,,
01860082-v,,move in,,01839438-v,,move,,,
02598823-v,,tutor,,02463535-v,,relate,,,
01019231-v,,predicate,,02463535-v,,relate,,,
02145254-v,,close,,00353480-v,,end,,,
02364227-v,,carry,,02208144-v,,have,,,
00739481-v,,"grab, seize",,01825361-v,,interest,,,