synset,definition,members,transitive definition,intransitive definition,notes
02372031-v,"leave (a job, post, or position) voluntarily",vacate; resign; renounce; give up,,,
02379663-v,display excessive cordiality (towards),backslap,,,
02379855-v,perform a function,perform,,,
02380222-v,carry out or participate in an activity; be involved in,prosecute; engage; pursue,,,
02380993-v,work toward the passage of some legislation by exchanging political favors such as trading votes,logroll,,,
02387509-v,give up or retire from a position,leave office; quit; step down; resign,,,
02388582-v,remove oneself from an association with or participation in,leave; depart; pull up stakes,,,
02406951-v,remove from a position or office,oust; throw out; drum out; boot out; kick out; expel,,,
02407967-v,terminate the employment of; discharge from an office or position,displace; fire; give notice; can; dismiss; give the axe; send away; sack; force out; give the sack; terminate,,,
02411715-v,be the successor (of),succeed; come after; follow,,,
02412896-v,be the predecessor of,precede; come before,,,
02413411-v,work as a driver,drive,,,
02415071-v,engage by written agreement,sign; contract; sign on; sign up,,,
02415849-v,assign a job to someone outside one's own business,contract out,,,
02417080-v,take time off from work; stop working temporarily,take off; take time off,,,
02417305-v,free someone temporarily from his or her obligations,take over; relieve,,,
02419840-v,act as an assistant in a subordinate or supportive function,assist,,,
02421160-v,work with in an amateurish manner,dabble; smatter; play around,,,
02422489-v,give one's silent approval to,connive at; wink at,,,
02427979-v,make it possible through a specific action or lack of action for something to happen,let; allow; permit,,,
02431018-v,start to operate or function or cause to start operating or functioning,open; open up,,,
02431242-v,cease to operate or cause to cease operating,close up; close; fold; shut down; close down,,,
02432763-v,order by virtue of superior authority; decree,ordain; enact,,,
02433334-v,break from a meeting or gathering,adjourn; withdraw; retire,,,
02436818-v,work in an administrative capacity; supervise or be in charge of,administer; administrate,,,
02438396-v,"revise or reorganize, especially for the purpose of updating and improving",retool; revise,,,
02439823-v,become part of; become a member of a group or organization,join; fall in; get together,,,
02441196-v,"be in charge of, act on, or dispose of",manage; deal; care; handle,,,
02450790-v,"work in a specific place, with a specific subject, or in a specific function",be; follow,,,
02452658-v,guarantee as meeting a certain standard,certify; endorse; indorse,,,
02453050-v,create (as an entity),form; organize; organise,,,
02455282-v,be active in,partake in,,,
02461692-v,work or act as a baby-sitter,baby-sit; sit; babysit,,,
02463998-v,have smooth relations,get along with; get on with; get on; get along; hit it off,,,
02464366-v,detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors,lobby; buttonhole,,,
02466306-v,work under a subcontract; engage in a subcontract,subcontract,,,
02469127-v,avoid (one's assigned duties),fiddle; shirk; shrink from; goldbrick,,,
02470568-v,sign jointly,co-sign; cosign,,,
02472093-v,"make laws, bills, etc. or bring into effect by legislation",legislate; pass,,,
02475598-v,bring or come into association or action,consociate; associate,,,
02476316-v,"unify again, as of a country",reunify; reunite,,,
02476510-v,enroll to vote,register,,,
02476750-v,register formally as a participant or member,enroll; inscribe; enter; enrol; recruit; raise,,,
02487728-v,separate by race or religion; practice a policy of racial segregation,segregate,,,
02491462-v,go on a date with,date,,,
02491850-v,date regularly; have a steady relationship with,go steady; go out; date; see,,,
02493222-v,pay a brief visit,visit; call in; call,,,
02493705-v,render,pay,,,
02494483-v,take in marriage; married,marry; get married; wed; conjoin; hook up with; get hitched with; espouse,,,
02495896-v,"marry, not for the first time",remarry,,,
02496283-v,get a divorce; formally terminate a marriage,divorce; split up,,,
02496526-v,have a celebration,celebrate; fete,,,
02499160-v,have or give a reception,receive,,,
02503235-v,take a court case to a higher court for review,appeal,,,
02517217-v,bring into conformity with rules or principles or usage; impose regulations,regulate; regularize; regularise; order; govern,,,
02517971-v,treat differently on the basis of sex or race,discriminate; separate; single out,,,
02522868-v,behave badly,misbehave; misconduct; misdemean,,,
02526026-v,make excessive corrections for fear of making an error,over-correct; overcompensate,,,
02526175-v,make amends for,expiate; aby; abye; atone,,,
02527985-v,fall short in what is expected,fail,,,
02528530-v,be successful; achieve a goal,pull off; negociate; bring off; carry off; manage,,,
02529017-v,go unchallenged; be approved,pass; clear,,,
02529187-v,fail to get a passing grade,fail; flunk; bomb; flush it,,,
02530710-v,go successfully through a test or a selection process,pass; make it,,,
02531534-v,fail by aiming too high or trying too hard,overreach,,,
02531751-v,to gain with effort,achieve; accomplish; attain; reach,,,
02533317-v,"make a mess of, destroy or ruin",botch; bodge; bumble; fumble; botch up; muff; blow; flub; screw up; ball up; spoil; muck up; bungle; fluff; bollix; bollix up; bollocks; bollocks up; bobble; mishandle; louse up; foul up; mess up; fuck up,,,
02535833-v,make an effort or attempt,try; seek; attempt; essay; assay,,,
02540427-v,engage in social activities leading to marriage,court,,,
02542223-v,have and exert influence or effect,influence; act upon; work,,,
02543752-v,create social or emotional ties,bind; tie; attach; bond,,,
02546948-v,be used by; as of a utility,service; serve,,,
02547977-v,"act in accordance with someone's rules, commands, or wishes",comply; follow; abide by,,,
02551275-v,expose to a chance of loss or damage,risk; put on the line; lay on the line,,,
02553283-v,give help or assistance; be of service,help; assist; aid,,,
02556213-v,care for like a mother,mother; fuss; overprotect,,,
02559774-v,sell one's body; exchange sex for money,prostitute,,,
02572142-v,commit a faux pas or a fault or make a serious mistake,drop the ball; sin; blunder; boob; goof,,,
02575150-v,simplify to an excessive degree,oversimplify,,,
02576599-v,"enter someone's (virtual or real) property in an unauthorized manner, usually with the intent to steal or commit a violent act",break in; break,,,
02577816-v,pay close attention to; give heed to,heed; mind; listen,,,
02579332-v,deprive somebody of something by deceit,cheat; rip off; chisel,,,
02582588-v,be sexually unfaithful to one's partner in marriage,cheat on; cheat; cuckold; betray; wander,,,
02583006-v,"tamper, with the purpose of deception",fudge; manipulate; fake; falsify; cook; wangle; misrepresent,,,
02584320-v,influence by slyness,juggle; beguile; hoodwink,,,
02588127-v,institute legal proceedings against; file a suit against,action; sue; litigate; process,,,
02591135-v,try to stir up public opinion,agitate; foment; stir up,,,
02592711-v,exercise authority over; as of nations,govern; rule,,,
02593071-v,govern badly,misgovern,,,
02597327-v,turn one's interest to,take up,,,
02599157-v,trick or deceive,humbug,,,
02599707-v,act like the master of,lord it over; queen it over; put on airs; act superior,,,
02600976-v,"operate in a certain place, area, or specialty",work,,,
02602110-v,get to know; get acquainted with,meet,,,
02603598-v,behave in a certain way,play,,,
02606776-v,develop a habit; apply oneself to a practice or occupation,take to,,,
02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be,,,
02614382-v,"have a beginning, in a temporal, spatial, or evaluative sense",begin; start,,,
02624202-v,continue to live and avoid dying,survive; last; live; live on; go; endure; hold up; hold out,,,
02626004-v,"continue in existence after (an adversity, etc.)",survive; pull through; pull round; come through; make it,,,
02639615-v,"be equivalent or parallel, in mathematics",equate; correspond,,,
02640648-v,be the result of,be due; flow from,,,
02647547-v,wait before acting,wait; hold off; hold back,,,
02652311-v,be worthy of or have a certain rating,rate,,,
02659254-v,provide housing for (military personnel),quarter; billet; canton,,,
02660781-v,occupy in large numbers or live on a host,invade; overrun; infest,,,
02664648-v,match or correspond,answer,,,
02666709-v,coincide partially or wholly,overlap,,,
02672137-v,be close or similar,approximate; come close,,,
02676679-v,"serve a purpose, role, or function",serve; function,,,
02679633-v,take precedence or surpass others in rank,rank; outrank,,,
02680258-v,be good at,shine at; excel at,,,
02681865-v,be relevant to,refer; pertain; relate; concern; come to; bear on; touch; touch on; have to do with,,,
02682306-v,center upon,focus on; center on; revolve around; revolve about; concentrate on; center,,,
02682599-v,be pertinent or relevant or applicable,apply; hold; go for,,,
02686624-v,put an end to a state or an activity,discontinue; stop; cease; give up; quit; lay off,,,
02691488-v,to extend as far as,reach; extend to; touch,,,
02692794-v,extend or spread outward from a center or focus or inward towards a center,radiate; ray,,,
02693227-v,be ahead of others; be the first,lead; top,,,
02694636-v,extend over and cover a part of,overlap,,,
02702962-v,pose a threat to; present a danger to,endanger; jeopardize; jeopardise; menace; threaten; imperil; peril,,,
02705339-v,take the place of or be parallel or equivalent to,represent; stand for; correspond,,,
02710992-v,last and be usable,wear; hold out; endure,,,
02714981-v,spend time in prison or in a labor camp,serve; do,,,
02727313-v,make a possibility or provide opportunity for; permit to be attainable or cause to remain,leave; allow for; allow; provide,,,
02731437-v,"be close to the earth, or be disproportionately wide",squat,,,
02736688-v,have or contain a certain wording or form,read; say,,,
02741628-v,conform to some shape or size,fit,,,
02745355-v,experience as a reaction,meet; encounter; receive,,,
02756930-v,have at least three points in common with,osculate,,,
02762779-v,fall from clouds,precipitate; come down; fall,,,
02773074-v,send out rays or waves,radiate,,,
02777522-v,drench or submerge or be drenched or submerged,swamp; drench,,,
01159815-v,use up (resources or materials),consume; eat up; use up; eat; deplete; exhaust; run through; wipe out,,,
01160479-v,spend extravagantly,consume; squander; waste; ware,,,
01166397-v,extract (ore) from a strip-mine,strip mine; surface mine; surface-mine,,,
01171608-v,eat noisily,slurp,,,
01172846-v,drink from a flask with a gurgling sound,guggle; gurgle,,,
01175135-v,partake of the Holy Eucharist sacrament,receive,,,
01175953-v,eat like a bird,pick at; peck at; peck,,,
01177270-v,chew noisily or vigorously,chomp; champ,,,
01177764-v,propose a toast to,toast; drink; pledge; salute; wassail,,,
01185006-v,"give what is desired or needed, especially support, food or sustenance",provide; supply; ply; cater,,,
01188961-v,give suck to,breastfeed; suckle; suck; nurse; wet-nurse; lactate; give suck,,,
01191018-v,"have a craving, appetite, or great desire for",crave; hunger; thirst; starve; lust,,,
01193481-v,take delight in,delight; enjoy; revel,,,
01196254-v,fill to satisfaction,satiate; sate; replete; fill,,,
01196465-v,cause surfeit through excess though initially pleasing,cloy; pall,,,
01196647-v,overcome or allay,quell; stay; appease,,,
01199057-v,stop consuming,kick; give up,,,
01199335-v,finish eating all the food on one's plate or on the table,eat up; finish; polish off,,,
01199976-v,convert food into absorbable substances,digest,,,
01200739-v,"inhale and exhale smoke from cigarettes, cigars, pipes",smoke,,,
01201417-v,draw deep into the lungs in by breathing,inhale,,,
01202003-v,inject into the vein,mainline,,,
01202393-v,inhale through the nose,take a hit; snort,,,
01202519-v,begin to smoke,light up; fire up; light,,,
01202706-v,use (purified cocaine) by burning it and inhaling the fumes,free-base; base,,,
01203727-v,chew (food); to bite and grind with the teeth,chew; masticate; manducate; jaw,,,
01206120-v,prey on or hunt for,raven; prey; predate,,,
01206513-v,eat until one is sated,fill up; fill,,,
01846450-v,travel by raft in water,raft,,,
01846997-v,make a trip for pleasure,travel; trip; jaunt,,,
01848595-v,"sail or travel about for pleasure, relaxation, or sightseeing",cruise,,,
01849171-v,make a tour of a certain place,tour,,,
01849662-v,undertake a journey or trip,travel; journey,,,
01850262-v,travel on water propelled by wind or by other means,voyage; sail; navigate,,,
01850600-v,traverse or travel on (a body of water),sail,,,
01852132-v,fly a kite,kite,,,
01853713-v,come near in time,approach; come near,,,
01856878-v,enter again,re-enter,,,
01868216-v,begin or set in motion,start; go; get going,,,
01868851-v,move or cause to move with a sudden jerky motion,jolt; jar,,,
01869189-v,to move (the head or body) quickly downwards or away,duck,,,
01871058-v,pass across (a sign or house of the zodiac) or pass across (the disk of a celestial body or the meridian of a place),transit,,,
01875673-v,come into rough contact with while moving,jostle; shove,,,
01875972-v,move with force,push; force,,,
01885173-v,"move about aimlessly or without any destination, often in search of food or employment",roll; wander; swan; stray; tramp; roam; cast; ramble; rove; range; drift; vagabond,,,
01887337-v,change place or direction,shift; dislodge; reposition,,,
01888570-v,heel over,cant; cant over; tilt; slant; pitch,,,
01891569-v,move smoothly and effortlessly,glide,,,
01893603-v,move or cause to move back and forth,shake; agitate,,,
01895242-v,"shake, quiver, or throb; move back and forth rapidly, usually in an uncontrolled manner",vibrate,,,
01895631-v,shake or vibrate rapidly and intensively,judder; shake,,,
01895810-v,"move with abrupt, seemingly uncontrolled motions",jerk; twitch,,,
01897072-v,lightly throw to see which side comes up,flip; toss,,,
01897594-v,toss with a sharp movement so as to cause to turn over in the air,flip; twitch,,,
01897764-v,move or strike with a noise,snap; click,,,
01902275-v,move to and fro,jiggle; joggle; wiggle,,,
01902585-v,move from side to side,wag; waggle,,,
01905776-v,move in a wavy pattern or with a rising and falling motion,roll; undulate; flap; wave,,,
01908286-v,be afloat either on or below a liquid surface and not sink to the bottom,float; swim,,,
01914366-v,"move or jump suddenly, as if in surprise or alarm",startle; jump; start,,,
01916152-v,travel across or pass over,traverse; track; cover; cross; pass over; get over; get across; cut through; cut across,,,
01920207-v,walk (through relatively shallow water),wade,,,
01922297-v,move about in or as if in a predatory manner,prowl,,,
01922514-v,move furtively,skulk,,,
01924925-v,"walk a long way, as for pleasure or physical exercise",hike,,,
01925957-v,go upward with gradual or continuous progress,climb; climb up; mount; go up,,,
01928220-v,fly low,buzz,,,
01932343-v,run for exercise,jog,,,
01935739-v,direct the course; determine the direction of travelling,steer; maneuver; manoeuver; manoeuvre; direct; point; head; guide; channelize; channelise,,,
01937276-v,"act as the navigator in a car, plane, or vessel and plan, direct, plot the path and position of the conveyance",navigate; pilot,,,
01938286-v,maneuver a vehicle into a parking space,park,,,
01938590-v,park at an angle,angle-park,,,
01938701-v,park directly behind another vehicle,parallel-park,,,
01938835-v,park a vehicle alongside another,double-park,,,
01940612-v,move along on skates,skate,,,
01942285-v,move along on skis,ski,,,
01948111-v,"be suspended in the air, as if in defiance of gravity",levitate; hover,,,
01949375-v,travel on water propelled by wind,sail,,,
01950267-v,turn into the wind,tack; wear round,,,
01950855-v,propel with oars,row,,,
01951402-v,travel by canoe,canoe,,,
01951746-v,propel with a paddle,paddle,,,
01952969-v,ride in a bus,bus,,,
01959843-v,be carried or travel on or in a vehicle,ride,,,
01961388-v,"sit and travel on the back of animal, usually while controlling its motions",ride; sit,,,
01964770-v,travel through water,swim,,,
01967662-v,make a power dive,power-dive,,,
01971799-v,submerge or plunge suddenly,duck,,,
01973223-v,travel up,ascend; go up,,,
01975943-v,descend into or as if into some soft substance or place,sink; subside,,,
01980234-v,dip into a liquid,dip; douse; duck,,,
01982450-v,fall or plunge forward,pitch,,,
01984631-v,land on the underside without the landing gear,belly-land,,,
01995486-v,sink below the surface; go under or as if under water,submerge; submerse,,,
01998474-v,pull back or move away or backward,withdraw; retreat; pull away; draw back; recede; pull back; retire; move back,,,
01999981-v,"make one's course or travel along a path; travel or pass over, around, or along",trace,,,
02002464-v,"to travel behind, go after, come after",follow,,,
02003250-v,move ahead (of others) in time or space,precede; lead,,,
02004579-v,"take (someone) to their seats, as in theaters or auditoriums",usher; show,,,
02012411-v,go away or leave,depart; take leave; quit,,,
02014550-v,leave suddenly,decamp; skip; vamoose,,,
02018585-v,leave at high speed making a loud sound,roar off,,,
02018715-v,move rapidly and as if blazing,blaze; blaze out,,,
02019020-v,move out or away,pull out; get out,,,
02019450-v,move out of or depart from,exit; go out; get out; leave,,,
02019914-v,"leave a vehicle, aircraft, etc.",get off,,,
02020375-v,to come or go into,enter; come in; get into; get in; go into; go in; move into,,,
02021627-v,make an entrance by turning from a road,turn in,,,
02025001-v,reach the summit (of a mountain),summit; breast,,,
02028354-v,meet formally,convene,,,
02035671-v,isolate or separate,shut off; close off,,,
02038516-v,bend or cause to bend,crook; curve,,,
02038831-v,form an arch or curve,arch; curve; arc,,,
02039270-v,curve upward in the middle,camber,,,
02039626-v,straighten up or out; make straight,straighten; unbend,,,
02039764-v,form a curve,bend; flex,,,
02040343-v,bend or turn backward,retroflex; replicate,,,
02040822-v,contract,flex,,,
02043899-v,stir up (water) so as to form ripples,ripple; ruffle; riffle; cockle; undulate,,,
02046082-v,move around freely from person to person or from place to place,circulate,,,
02047875-v,move in an orbit,orb; orbit; revolve,,,
02048545-v,"fly loops, perform a loop",loop,,,
02049364-v,turn outward,turn out; splay; spread out; rotate,,,
02050521-v,turn on a pivot,pivot; swivel,,,
02050704-v,revolve quickly and repeatedly around one's own axis,spin; spin around; whirl; reel; gyrate,,,
02052840-v,turn in a twisting or spinning motion,twirl; swirl; twiddle; whirl,,,
02055618-v,move past,travel by; pass by; surpass; go past; go by; pass,,,
02057865-v,move towards,approach; near; come on; go up; draw near; draw close; come near,,,
02058913-v,extend or stretch out to a greater or the full length,unfold; stretch; stretch out; extend,,,
02060224-v,run away in a stampede,stampede,,,
02061973-v,drive someone in a vehicle,drive around; chauffeur,,,
02064069-v,move outward,diffuse; spread; spread out; fan out,,,
02066946-v,"lower or bend (the head or upper body), as in a nod or bow",incline,,,
02067414-v,move out of a curled position,uncurl,,,
02077161-v,move away or escape suddenly,break; break out; break away,,,
02080748-v,cause to move with a smooth or sliding motion,slip,,,
02085825-v,depart and not take along,leave behind,,,
02087744-v,fold or close up,collapse,,,
02094104-v,turn over pages,leaf,,,
02098706-v,move in an abrupt or headlong manner,fling,,,
02104754-v,escape from the control of,run away,,,
02105494-v,apply a draft or strong wind to to,blast,,,
01625632-v,produce below capacity or demand,underproduce,,,
01636885-v,have the idea for,gestate; conceive; conceptualize; conceptualise,,,
01638429-v,unconsciously replace fact with fantasy in one's memory,confabulate,,,
01638974-v,imagine; conceive of; see in one's mind,visualize; visualise; envision; project; fancy; see; figure; picture; image,,,
01639763-v,picture to oneself; imagine possible,envision; foresee,,,
01639939-v,form a mental image of something that is not present or that is not the case,imagine; conceive of; ideate; envisage,,,
01641524-v,"make a discovery, make a new finding",discover; find,,,
01641910-v,make or work out a plan for; devise,plan; project; contrive; design,,,
01653237-v,"play incorrectly, e.g., play a wrong note",misplay,,,
01654835-v,enter upon an activity or enterprise,undertake; set about; attempt,,,
01658171-v,make by combining materials and parts,construct; build; make,,,
01659445-v,build again,rebuild; reconstruct,,,
01667644-v,prepare with dry heat in an oven,bake,,,
01667815-v,prepare by brewing,brew,,,
01670222-v,create (clothes) with cloth,sew; tailor; tailor-make,,,
01674796-v,make knotted patterns,macrame,,,
01674934-v,make (textiles) by knitting,knit,,,
01675228-v,knit with a purl stitch,purl,,,
01676648-v,create by looping or crocheting,crochet,,,
01678439-v,make lacework by knotting or looping,tat; intertwine,,,
01684943-v,apply colors with one's fingers,finger-paint,,,
01688232-v,create by shaping stone or wood or any other hard material,sculpt; sculpture,,,
01688794-v,make a painting,paint,,,
01694189-v,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",draw,,,
01694952-v,mark or trace words or symbols on a surface,write,,,
01706373-v,compose verses or put into verse,verse; versify; poetize; poetise,,,
01707716-v,sing and play for somebody,serenade,,,
01708095-v,sing (each note a scale or in a melody) with the same vowel,vocalize; vocalise,,,
01709353-v,write music,compose; write,,,
01712176-v,"compose a sequence of dance steps, often to music",choreograph,,,
01712535-v,move in a pattern; usually to musical accompaniment; do or perform a dance,dance; trip the light fantastic; trip the light fantastic toe,,,
01714176-v,guide the actors in (plays and films),direct,,,
01715824-v,record in film,film,,,
01718067-v,give a performance (of something),perform,,,
01719044-v,perform or be performed to the end,play out,,,
01719384-v,perform music from a score without having seen the score before,sightread; sight-read,,,
01719643-v,sing from a score without having seen it before,sightsing; sight-sing,,,
01721295-v,emit recorded sound,play,,,
01723161-v,play a role or part,act; play; represent,,,
01725433-v,behave unnaturally or affectedly,dissemble; pretend; act,,,
01725954-v,pretend to be somebody in the framework of a game or playful activity,play,,,
01727101-v,engage in a rehearsal (of),rehearse; practise; practice,,,
01732719-v,perform without preparation,improvise; improvize; ad-lib; extemporize; extemporise,,,
01738012-v,play fast notes on a wind instrument,double tongue; triple-tongue,,,
01738181-v,"articulate by tonguing, as when playing wind instruments",tongue,,,
01738810-v,reproduce or make an exact copy of,replicate; copy,,,
01740180-v,reproduce by xerography,photocopy; run off; xerox,,,
01740550-v,make a copy by means of a Photostat device,photostat,,,
01744489-v,"work land as by ploughing, harrowing, and manuring, in order to make it ready for cultivation",till,,,
01745745-v,to break and turn over earth especially with a plow,plow; plough; turn,,,
01746296-v,draw a harrow over (land),harrow; disk,,,
01746437-v,dig with a hoe,hoe,,,
01748492-v,have (one's work) issued for publication,publish,,,
01749953-v,publish again,republish,,,
01750412-v,publish in a gazette,gazette,,,
01750523-v,write as if with print; not cursive,print,,,
01751011-v,write carelessly,scribble; scrawl,,,
01754476-v,etch in aquatint,aquatint,,,
01754981-v,exaggerate one's acting,overact; ham it up; ham; overplay,,,
01755197-v,act (a role) with great restraint,underact; underplay,,,
01756692-v,"cause to happen, occur or exist",produce; bring about; give rise,,,
00001740-v,"draw air into, and expel out of, the lungs",breathe; take a breath; respire; suspire,,,
00004227-v,expel air,exhale; expire; breathe out,,,
00005041-v,draw in (air),inhale; inspire; breathe in,,,
00005815-v,"exhale abruptly, as when one has a chest cold or congestion",cough,,,
00022679-v,cause to be alert and energetic,stimulate; arouse; brace; energize; energise; perk up,,,
00027261-v,"extend one's limbs or muscles, or the entire body",stretch; extend,,,
00035769-v,"clean one's body or parts thereof, as by washing",cleanse; clean,,,
00036355-v,cleanse (one's body) with soap and water,wash; lave,,,
00036678-v,wash with a sponge,sponge down,,,
00037291-v,remove body hair with a razor,shave,,,
00037912-v,"direct a spray of water into a bodily cavity, for cleaning",douche,,,
00039098-v,make a marcel in a woman's hair,marcel,,,
00040084-v,care for one's external appearance,groom; neaten,,,
00040659-v,apply make-up or cosmetics to one's face to appear prettier,make up,,,
00041148-v,apply lipstick to,lipstick,,,
00041597-v,use dental floss to clean,floss,,,
00041748-v,use shampoo on (hair),shampoo,,,
00043009-v,"dress and groom with particular care, as for a special occasion",spruce up; spruce; slick up; smarten up,,,
00043414-v,dress or groom with elaborate care,preen; primp; plume; dress,,,
00043768-v,dress up in a cheap and provocative way,tart up,,,
00043880-v,put on special clothes to appear particularly appealing and attractive,overdress; dress up; fig out; fig up; deck up; gussy up; fancy up; trick up; deck out; trick out; prink; attire; get up; rig out; tog up; tog out,,,
00045548-v,take off weight,reduce; melt off; slim; slenderize; thin; slim down,,,
00045868-v,increase (one's body weight),gain; put on,,,
00049617-v,get undressed,undress; discase; uncase; unclothe; strip; strip down; disrobe; peel,,,
00051478-v,dress in a costume,costume; dress up,,,
00054002-v,become pregnant; undergo conception,conceive,,,
00056644-v,cause to be born,give birth; deliver; bear; birth; have,,,
00059330-v,carry out a pregnancy,carry to term,,,
00059540-v,suffer a miscarriage,miscarry,,,
00067770-v,release (a liquid) in drops or small quantities,exude; exudate; transude; ooze out; ooze,,,
00068629-v,"cause molten material, such as lava, to pour forth",extravasate,,,
00068783-v,exude profusely,stream,,,
00073566-v,excrete or evacuate (someone's bowels or body),purge,,,
00076153-v,eject the contents of the stomach through the mouth,vomit; vomit up; purge; cast; sick; cat; be sick; disgorge; regorge; retch; puke; barf; spew; spue; chuck; upchuck; honk; regurgitate; throw up,,,
00079223-v,treat a defect,correct,,,
00086587-v,perform vaccinations or produce immunity in by inoculation,immunize; immunise; inoculate; vaccinate,,,
00099475-v,do physical exercise,exercise; work out,,,
00101710-v,expel or eject (saliva or phlegm or sputum) from the mouth,spit; ptyalize; ptyalise; spew; spue,,,
00102340-v,cause or do harm to,harm,,,
00103901-v,expose one's body to the sun,sun; sunbathe,,,
02112042-v,perceive intuitively or through some inexplicable perceptive powers,divine,,,
02112271-v,divine by reading someone's palms,chiromance,,,
02122132-v,perceive what is not there; have illusions,hallucinate,,,
02122323-v,perceive incorrectly,misperceive,,,
02122725-v,experience while sleeping,dream,,,
02122959-v,notice or perceive,notice; mark; note,,,
02123398-v,observe with care or pay close attention to,note; take note; observe,,,
02123706-v,fail to notice,ignore,,,
02124124-v,become or make sore by or as if by rubbing,chafe; gall; fret,,,
02124339-v,scrape or rub as if to relieve itching,rub; scratch; itch,,,
