synset,definition,members,transitive definition,intransitive definition,notes
02125653-v,have or perceive an itch,itch,,,
02133118-v,observe with attention,watch; look on,,,
02133338-v,perceive or be contemporaneous with,witness; find; see,,,
02133754-v,perceive by sight or have the power to perceive by sight,see,,,
02142926-v,bring out fully or to advantage,do justice,,,
02143084-v,expose or show briefly,flash,,,
02147099-v,display (clothes) as a mannequin,model,,,
02154940-v,look attentively,watch,,,
02158461-v,look for a sexual partner in a public place,cruise,,,
02158938-v,"discover or determine the existence, presence, or fact of by perception with the eyes",detect; observe; find; discover; notice,,,
02164320-v,gleam or glow intermittently,flash; blink; wink; twinkle; winkle,,,
02170904-v,give careful consideration to,study; consider,,,
02172015-v,"explore, often with the goal of finding something or somebody",scout; reconnoiter; reconnoitre,,,
02173796-v,watch attentively,observe,,,
02174146-v,perceive (sound) via the auditory sense,hear,,,
02176740-v,make a shrill creaking noise by rubbing together special bodily structures,stridulate; clitter,,,
02178559-v,make a loud noise,clang; clangor,,,
02178755-v,make a clank,clank,,,
02178905-v,make a loud resonant noise,clangor; clangour,,,
02180402-v,sound with resonance,resonate; vibrate,,,
02185193-v,cause to be heard,project,,,
02185984-v,"make (bells) ring, often for the purposes of musical edification",ring; knell,,,
02187297-v,make a sharp sound,snap; crack,,,
02187621-v,make a strident noise,honk; blare; beep; claxon; toot,,,
02187888-v,play (a musical instrument) casually,tootle,,,
02188840-v,"echo repeatedly, echo again and again",reecho,,,
02190110-v,make a clicking or ticking sound,click; tick,,,
02191487-v,sound with a monotonous hum,hum; thrum,,,
02192139-v,to produce a sharp often metallic explosive or percussive sound,bang,,,
02195992-v,perceive by the sense of taste,taste,,,
02199916-v,make sweeter in taste,sweeten; dulcify; edulcorate; dulcorate,,,
02201136-v,make sour or more sour,sour; acidify; acidulate; acetify,,,
02203949-v,glow or cause to glow with warm color or light,flush,,,
00589616-v,get the meaning of something,grok; get the picture; comprehend; savvy; dig; grasp; compass; apprehend,,,
00590283-v,know and comprehend the nature or meaning of,understand,,,
00590704-v,discern,sense,,,
00590864-v,become aware of not through the senses but instinctively,smell; smell out; sense,,,
00591133-v,grasp the meaning,follow,,,
00591761-v,"understand, usually after some initial difficulty",catch on; get wise; get onto; tumble; latch on; cotton on; twig; get it,,,
00592156-v,know or grasp by intuition or feeling,intuit,,,
00592510-v,perceive (an idea or situation) mentally,understand; realize; realise; see,,,
00592914-v,become conscious of,perceive,,,
00593736-v,be fully aware of; realize fully,appreciate; take account,,,
00593939-v,show due and full appreciation,do justice,,,
00595064-v,gain knowledge of (an area not known or experienced) by extrapolating,extrapolate,,,
00595247-v,make sense of a language,understand; read; interpret; translate,,,
00596016-v,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,know; cognize; cognise,,,
00596900-v,be ignorant of or in the dark about,ignore,,,
00599029-v,be or become completely proficient or skilled in,master; get the hang,,,
00599310-v,gain knowledge or skills,learn; larn; acquire,,,
00599897-v,"discard something previously learnt, like an old habit",unlearn,,,
00600024-v,try to forget; put out of one's memory or knowledge,unlearn,,,
00600349-v,"get to know or become aware of, usually accidentally",learn; hear; get word; get wind; pick up; find out; get a line; discover; see,,,
00601630-v,attend academic courses without getting credit,audit,,,
00603054-v,believe or accept without questioning or challenge,swallow,,,
00603507-v,adopt,take up; latch on; fasten on; hook on; seize on,,,
00604030-v,be or work as an apprentice,apprentice,,,
00607178-v,"study intensively, as before an exam",cram; grind away; drum; bone up; swot; get up; mug up; swot up; bone,,,
00607488-v,learn by repetition,drill; exercise; practice; practise,,,
00608395-v,remain committed to,hold,,,
00608509-v,learn by reading books,study; hit the books,,,
00608800-v,be a student; follow a course of study; be enrolled at an institute of learning,study,,,
00609334-v,recall knowledge from memory; have a recollection,remember; retrieve; recall; call back; call up; recollect; think,,,
00610654-v,be unable to remember,forget; block; blank out; draw a blank,,,
00611060-v,keep in mind,mind; bear in mind,,,
00611237-v,keep in mind for attention or consideration,remember; think of,,,
00611721-v,dismiss from the mind; stop remembering,forget; bury,,,
00612810-v,recapture the past; indulge in memories,remember; think back,,,
00614373-v,put out of one's consciousness,suppress; repress,,,
00616690-v,leave undone or leave out,neglect; pretermit; omit; drop; miss; leave out; overlook; overleap,,,
00623176-v,read what is implied but not expressed on the surface,read between the lines,,,
00624678-v,set a difficult problem or riddle,riddle,,,
00626756-v,interpret something that is written or printed,read,,,
00628065-v,"look at, interpret, and say out loud something that is written or printed",read,,,
00629057-v,divine by gazing into crystals,scry,,,
00629632-v,interpret by lipreading; of deaf people,lipread; lip-read; speech-read,,,
00629787-v,edit and correct (written or printed material),copyread; subedit; copyedit,,,
00629964-v,read for errors,proofread; proof,,,
00632042-v,reflect deeply on a subject,chew over; think over; meditate; ponder; excogitate; contemplate; muse; reflect; mull; mull over; ruminate; speculate,,,
00633399-v,"expect, believe, or suppose",think; opine; suppose; imagine; reckon; guess,,,
00633898-v,take to be the case or to be true; accept without verification or proof,assume; presume; take for granted,,,
00635752-v,reassemble mentally,reconstruct; construct; retrace,,,
00637723-v,guess correctly; solve by guessing,guess; infer,,,
00638921-v,make a mathematical calculation or computation,calculate; cipher; cypher; compute; work out; reckon; figure,,,
00642490-v,make an addition by combining numbers,add; add together,,,
00642914-v,make a subtraction,subtract; deduct; take off,,,
00643760-v,perform a division,divide; fraction,,,
00644465-v,calculate a derivative; take the derivative,differentiate,,,
00644642-v,calculate the integral of; calculate by integration,integrate,,,
00650417-v,search the internet (for information) using the Google search engine,google,,,
00655686-v,consider again; give new consideration to; usually with a view to changing,reconsider,,,
00659399-v,"assign a grade or rank to, according to one's evaluation",grade; score; mark,,,
00665467-v,check once more to be absolutely sure,double-check,,,
00665600-v,"check out conflicting sources; crosscheck facts, for example",cross-check,,,
00666029-v,pick out random samples for examination in order to ensure high quality,spot-check,,,
00666401-v,confirm the truth of,verify,,,
00666706-v,"establish the validity of something, as by an example, explanation or experiment",prove; demonstrate; establish; show; shew,,,
00667394-v,"institute, enact, or establish",lay down; establish; make,,,
00667804-v,establish or strengthen as with new evidence or facts,confirm; corroborate; sustain; substantiate; support; affirm,,,
00668804-v,prove negative; show to be false,negate; contradict,,,
00669342-v,prove to be false,disprove; confute,,,
00670017-v,put up with something or somebody unpleasant,digest; endure; stick out; stomach; bear; stand; tolerate; support; brook; abide; suffer; put up,,,
00671680-v,"accept or undergo, often unwillingly",take; submit,,,
00672179-v,form a critical opinion of,evaluate; pass judgment; judge,,,
00674352-v,judge tentatively or form an estimate of (quantities or time),estimate; gauge; approximate; guess; judge,,,
00675902-v,judge to be right or commendable; think well of,approve,,,
00676259-v,consider bad or wrong,disapprove,,,
00676526-v,"pick out, select, or choose from a number of alternatives",choose; take; select; pick out,,,
00678369-v,select carefully from a group,pick,,,
00678783-v,choose,elect,,,
00681308-v,select as an alternative over another,choose; prefer; opt,,,
00685046-v,consider or ponder something carefully,bethink,,,
00685199-v,accept as true; take to be true,believe,,,
00687584-v,not accept something given or offered,reject,,,
00688348-v,consider or hold as true,accept,,,
00689196-v,consider unlikely,doubt,,,
00690510-v,change one's mind,rethink,,,
00690947-v,infer from incomplete evidence,surmise,,,
00693710-v,consider (oneself) as similar to somebody else,identify,,,
00695546-v,keep in mind or convey as a conviction or view,deem; hold; view as; take for,,,
00698618-v,refresh one's memory,review; brush up; refresh,,,
00699355-v,"reach, make, or come to a decision about something",decide; make up one's mind; determine,,,
00700498-v,decide irrevocably,seal,,,
00701581-v,fix conclusively or authoritatively,determine; set,,,
00702806-v,shape or influence; give direction to,determine; shape; mold; influence; regulate,,,
00704539-v,determine beforehand,predetermine,,,
00704735-v,foreordain or determine beforehand,predestine; foreordain; preordain,,,
00705076-v,foreordain by divine will or decree,predestine; predestinate; foreordain,,,
00705278-v,consider carefully and deeply; reflect upon; turn over in one's mind,cogitate,,,
00705641-v,consider as a possibility,contemplate,,,
00706456-v,make plans for something,plan,,,
00706993-v,have the will and intention to carry out some action,plan; be after,,,
00707283-v,have an ambitious plan or a lofty goal,draw a bead on; aspire; aim; shoot for,,,
00707690-v,run beyond or past,overrun,,,
00707813-v,intend with some possibility of fulfilment,hope; go for,,,
00708009-v,"present for consideration, examination, criticism, etc.",project; propose,,,
00709319-v,make a plot in response to another plot,counterplot,,,
00709957-v,"plan secretly, usually something illegal",plot,,,
00710205-v,devise a system or form a scheme for,scheme,,,
00710367-v,have in mind as a purpose,intend; mean; think,,,
00713544-v,"take into consideration, have in view",entertain; think of; toy with; flirt with; think about,,,
00713964-v,judge to be probable,calculate; estimate; reckon; count on; figure; forecast,,,
00714218-v,to reckon wrongly,miscalculate; misestimate,,,
00716789-v,argue with one another,debate,,,
00718663-v,take as a given; assume as a postulate or axiom,postulate; posit,,,
00721658-v,regard something as probable or likely,expect; anticipate,,,
00721987-v,look forward to the probable occurrence of,expect; look; await; wait,,,
00722885-v,discern or comprehend,tell,,,
00723679-v,bring to light,rake up,,,
00723989-v,search and discover through persistent investigation,ferret out; ferret,,,
00724810-v,cause one's (or someone else's) thoughts or attention to return from a reverie or digression,recall,,,
00726626-v,be on one's guard; be cautious or wary about; be alert to,beware; mind,,,
00729753-v,ascribe an achievement to,accredit; credit,,,
00730579-v,be fully aware or cognizant of,recognize; recognise; realize; realise; agnize; agnise,,,
00730788-v,derive by reason,elicit,,,
00730916-v,come to understand,penetrate; fathom; bottom,,,
00735067-v,find the solution,resolve; solve,,,
00735918-v,have a firm conviction as to the goodness of something,believe in,,,
00736077-v,take into consideration for exemplifying purposes,consider; take; deal; look at,,,
00739889-v,"bear (a cost or penalty), in recompense for some action",pay,,,
00741087-v,"ponder; reflect on, or reason about",think,,,
01075360-v,participate in games or sport,play,,,
01079346-v,deceive an opponent by a bold bet on an inferior hand with the result that the opponent withdraws a winning hand,bluff; bluff out,,,
01084999-v,become a participant; be involved in,enter; participate,,,
01085437-v,give up in the face of defeat of lacking hope; admit defeat,drop out; give up; fall by the wayside; drop by the wayside; throw in; throw in the towel; quit; chuck up the sponge,,,
01087648-v,be a referee or umpire in a sports competition,referee; umpire,,,
01090140-v,arm in advance of a confrontation,forearm,,,
01092148-v,act as an organized group,gang; gang up,,,
01092627-v,form or unite into a brigade,brigade,,,
01092746-v,be engaged in a fight; carry on a fight,contend; fight; struggle,,,
01093838-v,fight against or resist strongly,fight; oppose; fight back; fight down; defend,,,
01094777-v,battle or contend against in or as if in a battle,battle; combat,,,
01102003-v,fail to win,lose,,,
01102556-v,be the winner in a contest or competition; be victorious,win,,,
01106429-v,"overcome, usually through no fault or weakness of the person that is overcome",get the best; have the best; overcome,,,
01112274-v,perform a movement in military or naval tactics in order to secure an advantage in attack or defense,manoeuver; maneuver; manoeuvre; operate,,,
01114241-v,gain points in a game,score; tally; rack up,,,
01114789-v,get a certain number or letter indicating quality or performance,score,,,
01115898-v,obtain a base on balls,walk,,,
01118003-v,give up or agree to forgo to the power or possession of another,surrender; give up,,,
01120867-v,take the initiative and go on the offensive,attack; aggress,,,
01122221-v,attack by submarine,submarine,,,
01124145-v,"to make a rush at or sudden attack upon, as in battle",charge; bear down,,,
01124374-v,"fight a duel, as over one's honor or a woman",duel,,,
01126313-v,"make a strategic, offensive, assault against an enemy, opponent, or a target",strike; hit,,,
01126815-v,hit a ball so that it causes a backspin,slice,,,
01137207-v,fire a shot; release,blast; shoot,,,
01138907-v,attack with cannons or artillery,cannonade,,,
01141530-v,place a bet on,bet on; back; gage; stake; game; punt,,,
01142049-v,stake winnings from one bet on a subsequent wager,parlay; double up,,,
01142610-v,fish with a seine; catch fish with a seine,seine,,,
01143220-v,catch or try to catch fish or shellfish,fish,,,
01144189-v,angle with a hook and line drawn through the water,troll,,,
01144629-v,hunt (quarry) by stalking and ambushing,still-hunt; ambush,,,
01145876-v,fish with nets,net fish,,,
01146304-v,pursue for food or sport (as of wild animals),hunt; run; hunt down; track down,,,
01147016-v,hunt with ferrets,ferret,,,
01147339-v,hunt with hounds,course,,,
01147831-v,hunt with a jacklight,jacklight; jack,,,
01147934-v,fish with the line and bait resting still or stationary in the water,still-fish,,,
01153025-v,intend (something) to move towards a certain goal,target; aim; place; direct; point,,,
01153576-v,"point or cause to go (blows, weapons, or objects such as photographic equipment) towards",aim; take; train; take aim; direct,,,
01158153-v,stake on the outcome of an issue,bet; wager; play,,,
00121486-v,"reverse (a direction, attitude, or course of action)",interchange; tack; switch; alternate; flip; flip-flop,,,
00122456-v,"to become, or to cause to become, covered with a network of small cracks",crackle,,,
00125649-v,"pass into a condition gradually, take on a specific property or attribute; become",turn; grow,,,
00138328-v,change to the contrary,change by reversal; turn; reverse,,,
00139943-v,change in physical make-up,change integrity,,,
00140571-v,"change over, change around, as to a new order or sequence",switch over; switch; exchange,,,
00147635-v,pass suddenly and passively into a state of body or mind,fall,,,
00151394-v,adapt anew,readapt,,,
00158030-v,rise in rate or price,advance; gain,,,
00163249-v,make brighter and prettier,refurbish; renovate; freshen up,,,
00168396-v,"get or give new life or energy; return to life, regain energy, recuperate",regenerate; restore; rejuvenate,,,
00169266-v,change clothes; put on different clothes,change,,,
00169614-v,make less severe or harsh or extreme,modify,,,
00210263-v,break down,decompose; rot; molder; moulder,,,
00210536-v,suspend (meat) in order to get a gamey taste,hang,,,
00211164-v,become moldy; spoil due to humidity,mold; mildew,,,
00211427-v,affect or be affected with dry rot,dry-rot,,,
00226497-v,lessen the strength or flavor of a solution or mixture,dilute; thin; thin out; reduce; cut,,,
00241696-v,become longer by being stretched and pulled,stretch,,,
00245511-v,make more concise,digest; condense; concentrate,,,
00247103-v,increase twofold,double; duplicate,,,
00247632-v,increase threefold,triple; treble,,,
00247934-v,increase fourfold,quadruple,,,
00248120-v,increase fivefold,quintuple,,,
00248276-v,combine or increase by multiplication,multiply; manifold,,,
00249903-v,improve one's social status,climb,,,
00255184-v,make or grow (more) mellow,mellow,,,
00263435-v,solve problems,trouble-shoot; troubleshoot,,,
00264568-v,to swell or cause to enlarge,puff; puff up; blow up; puff out,,,
00265761-v,turn acidic,acidify; acetify,,,
00265980-v,turn basic and less acidic,alkalize; alkalise; alkalify; basify,,,
00268897-v,improve in health,get well; get over; bounce back,,,
00275887-v,change under the action or influence of the weather,weather,,,
00280235-v,make whiter or lighter,bleach,,,
00281071-v,turn white,whiten; white,,,
00281302-v,make or become black,blacken; melanize; melanise; black,,,
00291064-v,increase in extent or intensity,escalate; intensify; step up,,,
00305203-v,become tight or as if tight,constrict; constringe; narrow,,,
00305890-v,make or become more narrow or restricted,narrow; contract,,,
00306318-v,become wider,dilate; distend,,,
00306627-v,burst inward,implode; go off,,,
00306798-v,"burst outward, usually with noise",explode; burst,,,
00310092-v,"come open suddenly and violently, as if from internal pressure",burst; split; break open,,,
00310937-v,burst suddenly,blow,,,
00313972-v,clear of weeds,weed,,,
00320687-v,cook and make edible by putting in a hot oven,bake,,,
00323648-v,transform and make suitable for consumption by heating,cook,,,
00324372-v,cook too long,overcook,,,
00324657-v,cook slowly and for a long time in liquid,stew,,,
00325032-v,boil slowly at low temperature,simmer,,,
00325361-v,"cook with dry heat, usually in an oven",roast,,,
00325607-v,cook outdoors on a barbecue grill,barbeque; barbecue; cook out,,,
00326009-v,cook in liquid,braise,,,
00326129-v,cook in hot fat or oil,fry,,,
00327260-v,fry very quickly over high heat,stir fry,,,
00327420-v,fry briefly over high heat,saute,,,
00327574-v,cook over or under a grill,grill,,,
00327820-v,cook over a hibachi grill,hibachi,,,
00327955-v,cook something by letting steam pass over it,steam,,,
00328623-v,sit or let sit in boiling water so as to extract the flavor,brew,,,
00328792-v,steep; pass through a strainer,draw,,,
00328938-v,"immerse or be immersed in a boiling liquid, often for cooking purposes",boil,,,
00329180-v,cook under a broiler,broil; oven broil,,,
00329489-v,cook in a pressure cooker,pressure-cook,,,
00331375-v,cause to separate,break up; disperse; scatter,,,
00334404-v,break open or apart suddenly and forcefully,burst; bust,,,
00334568-v,break into many pieces,shatter,,,
00337875-v,"break suddenly and abruptly, as under tension",snap; crack,,,
00339895-v,break into small pieces,crush,,,
00346415-v,take the first step or steps in carrying out an action,get down; begin; get; start out; start; set about; set out; commence,,,
00347191-v,begin again,recommence,,,
00350758-v,take up or begin anew,resume; restart; re-start,,,
00352060-v,keep to,stick to; stick with; follow,,,
00356912-v,undergo or cause to undergo a change in the surface,change surface,,,
00363763-v,stop pursuing or acting,drop; knock off,,,
00364950-v,close at the end of a session,adjourn; recess; break up,,,
00366673-v,change or cause to change directly from a solid into a vapor without first melting,sublime; sublimate,,,
00367511-v,lose or cause to lose liquid by vaporization leaving a more concentrated residue,evaporate; vaporize; vaporise,,,
00374173-v,unite with carbon,carbonize; carbonise; carburize; carburise,,,
00374806-v,change to ice,freeze,,,
00375692-v,come to the boiling point and change from a liquid to vapor,boil,,,
00376777-v,become or cause to become soft or liquid,dissolve; thaw; unfreeze; unthaw; dethaw; melt,,,
00377478-v,make or become free of frost or ice,defrost; deice; de-ice,,,
00378713-v,cause to undergo combustion,burn; incinerate,,,
00380830-v,make a shift in or exchange of,switch; change over; shift,,,
00381095-v,change the order or arrangement of,permute; commute; transpose,,,
00381369-v,to establish a mapping (of mathematical elements or sets),map; represent,,,
00381684-v,change from one system to another or to a new plan or policy,convert; change over,,,
00390886-v,lessen in force or effect,dampen; damp; soften; weaken; break,,,
00398482-v,break into parts or components or lose cohesion or unity,disintegrate,,,
00406161-v,make central,centralize; centralise; concentrate,,,
00406465-v,make less central,decentralize; deconcentrate; decentralise,,,
00407168-v,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc",fix; prepare; set up; ready; gear up; set,,,
00435030-v,"increase in size, volume or significance",magnify; amplify,,,
00436434-v,"unroll, unfold, or spread out or be unrolled, unfolded, or spread out from a furled state",unfurl; unroll,,,
00436641-v,form a cylinder by rolling,roll up; wrap up,,,
00436806-v,form into a cylinder by rolling,roll up; furl,,,
00437357-v,vary in order to spread risk or to expand,diversify; branch out; broaden,,,
00439133-v,move faster,accelerate; speed up; speed; quicken,,,
00440913-v,lose velocity; move more slowly,decelerate; slow; slow down; slow up; retard,,,
00443222-v,turn into gas,gasify; vaporize; vaporise; aerify,,,
00443802-v,turn from a liquid to a solid mass,curdle,,,
00445584-v,"reduce or cause to be reduced from a solid to a liquid state, usually by heating",melt; run; melt down,,,
00458725-v,turn into curds,curdle; clabber; clot,,,
00458953-v,change from a liquid to a thickened or solid state,clot; coagulate,,,
00461510-v,deliberately delay an event or action,stall,,,
00467397-v,turn or place at an angle,skew,,,
00469704-v,set or arrange in a new or different determinate position,reorient,,,
00470295-v,deteriorate through use or stress,wear; wear off; wear out; wear down; wear thin,,,
00485097-v,come or bring to a finish or an end,complete; finish,,,
00486949-v,pursue to a conclusion or bring to a successful issue,follow through; follow up; follow out; carry out; implement; put through; go through with,,,
00487786-v,be fixed as if by glue,glue,,,
00497220-v,"withdraw, as from reality",lose,,,
00504245-v,act as a stimulant,stimulate; excite,,,
00505100-v,"irritate as if by a nip, pinch, or tear",pinch; vellicate,,,
00507306-v,change (a compound) into an ester,esterify,,,
00507458-v,change into an ether,etherify,,,
00508033-v,form layers or strata,stratify,,,
00508745-v,convert to a fossil,fossilize; fossilise,,,
00526526-v,make or evolve into a ritual,ritualize; ritualise,,,
00527521-v,fix a computer program piecemeal until it works,hack; hack on,,,
00528312-v,convert to compost,compost,,,
00550143-v,change from one state to another,run,,,
00551194-v,"lay aside, abandon, or leave for another",switch; shift; change,,,
00574534-v,make or become angular,angulate,,,
01208838-v,"make physical contact with, come in contact with",touch,,,
01211755-v,"affect or afflict suddenly, usually adversely",hit; strike,,,
01215136-v,take into your hands deliberately,seize; prehend; clutch; take hold; take hold of,,,
01218895-v,hold on tightly or tenaciously,cling; hang,,,
01225522-v,"turn upside down, or throw so as to reverse",flip; flip over; turn over,,,
01225746-v,form into a spiral shape,twist; twine; distort,,,
01226180-v,twist or roll into coils or ringlets,curl; wave,,,
01229164-v,"stroke or caress in an erotic manner, as during lovemaking",pet,,,
01230239-v,"pass into or through, often by overcoming resistance",penetrate; perforate,,,
01230799-v,pierce with force,strike,,,
01233119-v,strike or punch with quick and short blows,jab,,,
01239505-v,"leap, jerk, bang",spang; bang,,,
01240768-v,strike with a dull sound,thud,,,
01242183-v,knock against with force or violence,bump; knock,,,
01243284-v,touch lightly and briefly,brush,,,
01245396-v,close violently,slam; bang,,,
01246915-v,remove the dust from,dust,,,
01247417-v,clean with a vacuum cleaner,vacuum; vacuum-clean; hoover,,,
01253472-v,cause friction,rub; fray; fret; chafe; scratch,,,
01264677-v,make or form a layer,layer,,,
01280991-v,"make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in; `crisp' is archaic",wrinkle; ruckle; crease; crinkle; scrunch; scrunch up; crisp,,,
01281420-v,to gather something into small wrinkles or folds,pucker; rumple; cockle; crumple; knit,,,
01281908-v,gather or contract into wrinkles or folds; pucker,purse; wrinkle,,,
01282617-v,cause (an object) to assume a crooked or angular form,flex; bend; deform; twist; turn,,,
01283787-v,"curl, wind, or twist together",convolve; convolute,,,
01307376-v,secure a vessel with an anchor,anchor; cast anchor; drop anchor,,,
01309314-v,"scratch, scrape, pull, or dig with claws or nails",claw,,,
01310556-v,"reduce the level of land, as by erosion",degrade,,,
01311687-v,put a telephone receiver back in its cradle,hang up,,,
01312361-v,"turn up, loosen, or remove earth",dig; delve; cut into; turn over,,,
01312909-v,dig (up) with a spade,spade,,,
01314921-v,dig out from underneath earth or snow,dig out,,,
01315470-v,dig with or as if with a shovel,shovel,,,
01317608-v,"search by divining, as if with a rod",divine,,,
01317993-v,"look around casually and randomly, without seeking anything in particular",browse; surf,,,
01319279-v,look for (food) in nature,gather,,,
01331921-v,fasten by sewing; do needlework,sew; run up; sew together; stitch,,,
01333249-v,do backstitches,backstitch,,,
01334030-v,"sew together loosely, with large stitches",baste; tack,,,
01334200-v,sew with hemstitches,hemstitch,,,
01359991-v,stick together as if with gum,gum up,,,
01371262-v,make straight,straighten; straighten out,,,
01371869-v,wear away by rubbing,fray; frazzle,,,
01379904-v,discharge or direct or be discharged or directed as if in a continuous stream,play,,,
01384203-v,gather or bring together,muster; rally; summon; come up; muster up,,,
01387406-v,gather (money or other resources) together over time,scrape; scrape up; scratch; come up,,,
01394734-v,clean with one's bill,preen; plume,,,
01396368-v,sweep with a broom or as if with a broom,sweep; broom,,,
01407698-v,cause to move by striking,hit,,,
01410807-v,hit the ball into the hole,hole; hole out,,,
01411414-v,propel,dribble; carry,,,
01411612-v,hit a ball and put a spin on it so that it travels in a different direction,slice,,,
01412877-v,"deliver a sharp blow, as with the hand, fist, or weapon",strike,,,
01416373-v,bat right-handed against a left-handed and left-handed against a right-handed pitcher,switch-hit,,,
01416942-v,strike sharply,rap; knap,,,
01427110-v,"hold (someone) tightly in your arms, usually with fondness",embrace; hug; bosom; squeeze,,,
01428543-v,stroke or caress gently,pet,,,
01429048-v,have sexual intercourse with,sleep together; roll in the hay; love; make out; make love; sleep with; get laid; have sex; know; do it; be intimate; have intercourse; have it away; have it off; screw; fuck; jazz; eff; hump; lie with; bed; have a go at it; bang; get it on; bonk,,,
01431211-v,induce to have sex,seduce; score; make,,,
01433266-v,get sexual gratification through self-stimulation,masturbate; wank; fuck off; she-bop; jack off; jerk off,,,
