synset,definition,members,transitive definition,intransitive definition,notes
01433863-v,"touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.",snog; kiss; buss; osculate,,,
01436442-v,"run after, pick up, and bring to the master",retrieve,,,
01449348-v,bite off very small pieces,nibble,,,
01449876-v,exert pressure or force to or upon,press,,,
01453572-v,carry luggage or supplies,porter,,,
01455157-v,pull lightly but sharply with a plucking motion,pluck; plunk; pick,,,
01457813-v,raise or haul up with or as if with mechanical help,hoist; lift; wind,,,
01463566-v,separate the chaff from grain by using air currents,winnow,,,
01464634-v,to bring or combine together or with something else,mix; mingle; commix; unify; amalgamate,,,
01465097-v,combine into one,blend; intermix; immingle; intermingle,,,
01477180-v,"release, as from one's grip",let go of; let go; release; relinquish,,,
01481233-v,become or cause to become obstructed,clog; choke off; clog up; back up; congest; choke; foul; crap up,,,
01481768-v,become or cause to become unobstructed,unclog,,,
01487029-v,gather or cause to gather into a cluster,bunch; bundle; cluster; clump,,,
01487340-v,form into one cluster,agglomerate,,,
01492646-v,fill or place a load on,load; lade; laden; load up,,,
01496037-v,place temporarily,park,,,
01506930-v,arrange into piles or stacks,pile up; heap up; stack up,,,
01513459-v,keep engaged,engage; mesh; lock; operate,,,
01514012-v,"release from something that holds fast, connects, or entangles",disengage; withdraw,,,
01518198-v,"shoot forth or launch, as if from a catapult",catapult,,,
01521405-v,work natural fibers into a thread,spin,,,
01521557-v,interlace by or as if by weaving,weave; interweave,,,
01523477-v,become or cause to become undone by separating the fibers or threads of,unravel; unknot; unscramble; untangle; unpick,,,
01523757-v,tangle or complicate,ravel; tangle; knot,,,
01526189-v,roll into a ball,clue; clew,,,
01526611-v,separate the tangles of,unwind; disentangle,,,
01526774-v,wind around something in coils or loops,coil; loop; curl,,,
01538956-v,wash off soap or remaining dirt,rinse; rinse off,,,
01540197-v,"make dirty or spotty, as by exposure to air; also used metaphorically",tarnish; stain; maculate; sully; defile,,,
01544013-v,move into or onto,work,,,
01558219-v,divide a deck of cards at random into two parts to make selection difficult,cut,,,
01559354-v,"separate or cut with a tool, such as a sharp instrument",cleave; split; rive,,,
01576107-v,tear or be torn violently,rend; rip; rive; pull,,,
01576346-v,separate or cause to separate abruptly,tear; rupture; snap; bust,,,
01576722-v,tear into shreds,shred; tear up; rip up,,,
01577123-v,"to grip or seize, as in a wrestling match",grapple; grip,,,
01580466-v,thrust or throw into,immerse; plunge,,,
01580815-v,plunge (one's hand or a receptacle) into a container,dip,,,
01581362-v,submerge in a liquid,soak,,,
01587622-v,push roughly,shove,,,
01598618-v,solder together by using hard solder with a high melting point,braze,,,
01600207-v,throw or propel in a specific direction or towards a specific objective,shoot,,,
01600753-v,make a slam dunk; shoot a basketball in a slam dunk,slam-dunk,,,
01607735-v,"throw, catch, and keep in the air several things simultaneously",juggle,,,
01611610-v,"remove all contents or possession from, or empty completely",clean; strip,,,
00742582-v,transmit thoughts or feelings,communicate; intercommunicate,,,
00745209-v,communicate vividly,project,,,
00745330-v,be in or establish communication with,reach; get through; get hold of; contact,,,
00747369-v,speak or recite rapidly or in a rolling voice,troll,,,
00748070-v,issue an order,ordain,,,
00748228-v,decree or determine beforehand,predestine,,,
00748352-v,decree or ordain,will,,,
00748704-v,give instructions to or direct somebody to do something with authority,order; tell; enjoin; say,,,
00749139-v,issue commands or orders for,order; prescribe; dictate,,,
00754499-v,make a request or demand for something to somebody,ask,,,
00755473-v,ask (a person) to do something,request,,,
00756776-v,write a petition for something to somebody; request formally and in writing,petition,,,
00756987-v,request urgently and forcefully,demand,,,
00758383-v,assert or affirm strongly; state to be true or existing,claim,,,
00758694-v,state insincerely,profess; pretend,,,
00760932-v,"ask for humbly or earnestly, as in prayer",supplicate,,,
00761314-v,call upon in supplication; entreat,beg; implore; pray,,,
00762780-v,"confess one's faith in, or allegiance to",profess,,,
00765876-v,"complete a business deal, negotiation, or an agreement",close,,,
00768022-v,"press, drive, or impel (someone) to action or completion of an action",push; bear on,,,
00771225-v,declaim in an elocutionary manner,elocute,,,
00775477-v,have an argument about something,argue; contend; debate; fence,,,
00778891-v,chatter inarticulately; of monkeys,gibber,,,
00780320-v,make a break in,interrupt; disrupt; break up; cut off,,,
00783699-v,approach with an offer of sexual favors,hook; solicit; accost,,,
00786670-v,pose a question,question; query,,,
00787624-v,conduct an inquiry or investigation of,investigate; inquire; enquire,,,
00790226-v,question or examine thoroughly and closely,probe; examine,,,
00790800-v,investigate scientifically,investigate; look into,,,
00791110-v,get or try to get into communication (with someone) by telephone,call; telephone; call up; phone; ring,,,
00791596-v,call up by using a cellular phone,cell phone,,,
00793426-v,return or repeat a telephone call,call back,,,
00798054-v,prohibit especially by legal means or social pressure,ban,,,
00799092-v,show unwillingness towards,refuse; decline,,,
00800379-v,"formally reject or disavow a formerly held belief, usually under pressure",abjure; recant; forswear; retract; resile,,,
00801904-v,fail to fulfill a promise or obligation,renege; renege on; renegue on; go back on,,,
00805664-v,authorize by certificate,certificate,,,
00807711-v,be willing to concede,concede; yield; grant,,,
00808164-v,give sanction to,approve; O.K.; okay; sanction,,,
00813657-v,avoid having to deal with some unpleasant task,shy away from,,,
00813960-v,deal with (something unpleasant) head on,confront; face up; face,,,
00814242-v,discuss the pros and cons of an issue,debate; deliberate,,,
00814706-v,think about carefully; weigh,consider; debate; moot; turn over; deliberate,,,
00815452-v,preside over,moderate; chair; lead,,,
00815640-v,speak with others about (something); talk (something) over in detail; have a discussion,hash out; discuss; talk over,,,
00817348-v,react verbally,answer; reply; respond,,,
00818217-v,declare untrue; contradict,deny,,,
00818664-v,refuse to accept or believe,deny,,,
00818972-v,declare to be true or admit the existence or reality or truth of,admit; acknowledge,,,
00820214-v,admit (to a wrongdoing),concede; profess; confess,,,
00822013-v,"authenticate, affirm to be true, genuine, or correct, as in an official capacity",attest,,,
00822462-v,state firmly,declare,,,
00826456-v,censure severely or angrily,call on the carpet; take to task; rebuke; rag; trounce; lecture; reprimand; jaw; dress down; call down; scold; chide; berate; bawl out; remonstrate; chew out; chew up; have words; lambaste; lambast,,,
00829391-v,"speak, plead, or argue in favor of",preach; advocate,,,
00829888-v,preach the gospel (to),evangelize; evangelise,,,
00830768-v,impart skills or knowledge to,teach; learn; instruct,,,
00831608-v,serve as a teacher or trusted counselor,mentor,,,
00838967-v,pretend to be someone you are not; sometimes with fraudulent intentions,pose; impersonate; personate,,,
00839551-v,frighten someone by pretending to be stronger than one really is,bluff,,,
00839722-v,make believe with the intent to deceive,feign; sham; pretend; affect; dissemble,,,
00842288-v,place special or excessive emphasis on,overemphasize; overemphasise; overstress,,,
00842488-v,emphasize anew,re-emphasise; re-emphasize,,,
00843665-v,give away information about somebody,denounce; tell on; betray; give away; rat; grass; shit; shop; snitch; stag,,,
00844451-v,harass with constant criticism,blame; find fault; pick,,,
00846620-v,bother persistently with trivial complaints,nag; peck; hen-peck,,,
00846978-v,use foul or abusive language towards,abuse; clapperclaw; blackguard; shout,,,
00849550-v,spread negative information about,vilify; revile; vituperate; rail,,,
00850387-v,"be offended or bothered by; take offense with, be bothered by",mind,,,
00850574-v,show anger or indignation,bristle at; bridle at; bridle up; bristle up,,,
00853615-v,subject to laughter or ridicule,ridicule; roast; guy; blackguard; laugh at; jest at; rib; make fun; poke fun,,,
00854188-v,mock or make fun of playfully,tease,,,
00856586-v,fool or hoax,gull; dupe; slang; befool; cod; fool; put on; take in; put one over; put one across,,,
00856977-v,be silly or tease one another,kid; chaff; jolly; josh; banter,,,
00860119-v,act as a cheerleader in a sports event,cheerlead,,,
00862146-v,applaud with shouts of `bravo' or `brava',bravo,,,
00863593-v,clap one's hands or shout after performances to indicate approval,applaud; clap; spat; acclaim,,,
00863889-v,"show displeasure, as after a performance or speech",boo; hiss,,,
00864347-v,attack in speech or writing,attack; round; assail; lash out; snipe; assault,,,
00869073-v,"challenge the accuracy, probity, or propriety of",question; oppugn; call into question,,,
00871260-v,"to make the subject of dispute, contention, or litigation",contest; contend; repugn,,,
00871595-v,file a formal charge against,charge; lodge; file,,,
00871877-v,"notify of danger, potential harm, or risk",warn,,,
00872241-v,advise or counsel in terms of someone's behavior,warn; discourage; admonish; monish,,,
00873444-v,to be a menacing indication of something,threaten,,,
00875364-v,inform (somebody) of something,advise; notify; give notice; send word; apprise; apprize,,,
00876531-v,familiarize oneself thoroughly with,get into,,,
00876672-v,push for something,recommend; urge; advocate,,,
00877973-v,advise professionally,consult,,,
00878614-v,seek information from,consult; refer; look up,,,
00879090-v,get or ask advice from,consult; confer with,,,
00881061-v,propose as a candidate for some honor,nominate; put up; put forward,,,
00881623-v,tell voluntarily,volunteer,,,
00883916-v,express approbation of,commend,,,
00884469-v,express a good opinion of,commend; recommend,,,
00885532-v,make a promise or commitment,promise; assure,,,
00886061-v,promise solemnly and formally,pledge; plight,,,
00889847-v,"take vows, as in religious order",profess,,,
00891076-v,promise to do or accomplish,undertake; guarantee,,,
00891468-v,promise solemnly; take an oath,swear,,,
00891621-v,give surety or assume responsibility,guarantee; vouch,,,
00893836-v,express gratitude or show appreciation to,thank; give thanks,,,
00895886-v,offer as an excuse or plea,plead,,,
00899241-v,address a question to and expect an answer from,ask; inquire; enquire,,,
00899782-v,take someone's hands and shake them as a gesture of greeting or congratulation,shake hands,,,
00900454-v,"bend one's knee or body, or lower one's head",bow; bow down,,,
00901610-v,greet with a salaam,salaam,,,
00902866-v,cause to come to know personally,introduce; present; acquaint,,,
00903227-v,introduce anew,reintroduce; re-introduce,,,
00909753-v,challenge aggressively,heckle,,,
00910930-v,treat condescendingly,patronize; patronise; condescend,,,
00914001-v,"utter aloud; often with surprise, horror, or joy",exclaim; cry; cry out; outcry; call out; shout,,,
00914426-v,utter in a loud voice; talk in a loud voice (usually denoting characteristic manner of speaking),shout,,,
00916014-v,"shout `halloo', as when greeting someone or attracting attention",halloo,,,
00916373-v,utter a shrill cry,shriek; shrill; pipe up; pipe,,,
00916722-v,to insert between other elements,interject; come in; interpose; put in; throw in; inject,,,
00916994-v,utter or proclaim insistently and noisily,clamor; clamour,,,
00917376-v,shout out,holler; holler out,,,
00917783-v,speak softly; in a low voice,whisper,,,
00918736-v,say (something) with great enthusiasm,rhapsodize; rhapsodise,,,
00918880-v,"put forward, of a guess, in spite of possible refutation",guess; venture; pretend; hazard,,,
00919271-v,express a supposition,suppose; say,,,
00919743-v,make a prediction about; tell in advance,predict; foretell; prognosticate; call; forebode; anticipate; promise,,,
00920442-v,predict from an omen,augur,,,
00920717-v,estimate based on a calculation,guesstimate,,,
00920843-v,"establish after a calculation, investigation, experiment, survey, or study",determine; find; find out; ascertain,,,
00921579-v,determine the amino-acid sequence of a protein during its synthesis by using information on the messenger RNA,translate,,,
00923043-v,imagine to be the case or true or probable,suspect; surmise,,,
00923271-v,be a signal for or a symptom of,bespeak; betoken; indicate; point; signal,,,
00925764-v,"indicate a place, direction, person, or thing; either spatially or figuratively",indicate; point; designate; show,,,
00926226-v,indicate the presence of (game) by standing and pointing with the muzzle,point,,,
00928443-v,predict in advance,forecast; calculate,,,
00928673-v,"predict or reveal through, or as if through, divine inspiration",prophesy; vaticinate,,,
00929986-v,to state or express briefly,indicate,,,
00931801-v,express or state indirectly,imply; connote,,,
00932156-v,burst out with a violent or profane utterance,rip out,,,
00932330-v,call to mind,suggest; evoke; paint a picture,,,
00933429-v,have as a meaning,denote; refer,,,
00935783-v,make known to the public information that was previously known only to a few people or that was meant to be kept a secret,unwrap; disclose; let on; bring out; reveal; discover; expose; divulge; break; give away; let out; uncover,,,
00938497-v,reveal in private; tell confidentially,confide,,,
00938795-v,give information that compromises others,sell someone out,,,
00939238-v,divulge confidential information or secrets,spill the beans; let the cat out of the bag; talk; tattle; blab; peach; babble; sing; babble out; blab out,,,
00941308-v,make plain and comprehensible,explain; explicate,,,
00945764-v,utter while crying,blubber; blubber out,,,
00946580-v,give expression or utterance to,vent; ventilate; give vent,,,
00946956-v,conclude by reasoning; in logic,deduce; infer,,,
00950634-v,count wrongly,miscount,,,
00952463-v,show consideration for; take into account,consider; count; weigh,,,
00954873-v,reveal information,spill; talk,,,
00955090-v,give an account of; narrate,relate,,,
00956303-v,"provide commentary for a film, for example",narrate,,,
00956640-v,make public,publicize; publicise; air; bare,,,
00957065-v,make public by bulletin,bulletin,,,
00957633-v,"add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing",elaborate; lucubrate; expatiate; exposit; enlarge; flesh out; expand; expound; dilate,,,
00959711-v,to say again or imitate,repeat; echo,,,
00960206-v,repeat mindlessly,parrot,,,
00960366-v,"to say, state, or perform again",repeat; reiterate; ingeminate; iterate; restate; retell,,,
00961859-v,restate (words) from one language into another language,translate; interpret; render,,,
00965602-v,use language,speak; talk,,,
00967067-v,to give an account or representation of in words,report; describe; account,,,
00968184-v,"announce one's arrival, e.g. at hotels or airports",check in; sign in,,,
00968841-v,announce as the result of an investigation or experience or finding,report,,,
00969130-v,"be responsible for reporting the details of, as in journalism",report; cover,,,
00970994-v,distribute (multimedia files) over the internet for playback on a mobile device or a personal computer,podcast,,,
00974031-v,decide on and make a declaration about,rule; find,,,
00976399-v,make known; make an announcement,announce; denote,,,
00977234-v,proclaim or announce with or as if with a fanfare,trump; trump out,,,
00977934-v,call attention to,advertise; publicize; advertize; publicise,,,
00978397-v,advertize noisily or blatantly,ballyhoo,,,
00979368-v,state or announce,proclaim; exclaim; promulgate,,,
00981443-v,articulate (a consonant) with the tongue curled back against the palate,retroflex,,,
00981699-v,articulate without making audible sounds,subvocalize; subvocalise,,,
00982208-v,lengthen and slow down or draw out,drawl,,,
00982485-v,put into words or an expression,give voice; formulate; word; phrase; articulate,,,
00982940-v,state as a dogma,dogmatize; dogmatise,,,
00983576-v,speak haltingly,bumble; stutter; stammer; falter,,,
00983976-v,utter impulsively,blurt out; blurt; blunder out; blunder; ejaculate,,,
00987832-v,utter with a sigh,sigh,,,
00989629-v,represent or identify by using a symbol; use symbols,symbolize; symbolise,,,
00991233-v,give a speech to,address; speak,,,
00995046-v,communicate or express by writing,write,,,
00998530-v,mark with one's signature; write one's name (on),sign; subscribe,,,
00998855-v,sign with a mark instead of a name,rubricate,,,
00999477-v,add one's signature to after another's to attest authenticity,countersign,,,
01001315-v,record with a tape recorder,tape record,,,
01002259-v,make a record of; set down in permanent form,record; enter; put down,,,
01004785-v,make a film or photograph of something,film; shoot; take,,,
01005094-v,record on videotape,videotape; tape,,,
01005294-v,record on photographic film,photograph; snap; shoot,,,
01006737-v,write by means of a keyboard with types,type; typewrite,,,
01007949-v,make explicit; specify in detail,spell out,,,
01009072-v,communicate (with) in writing,write; drop a line,,,
01009249-v,"send cables, wires, or telegrams",cable; telegraph; wire,,,
01009703-v,send something via a facsimile machine,fax; telefax; facsimile,,,
01009951-v,give a summary (of),sum up; summarize; summarise; resume,,,
01010930-v,summarize briefly,recapitulate; recap,,,
01011267-v,express in words,state; say; tell,,,
01012013-v,express with difficulty,get out,,,
01012145-v,state emphatically and authoritatively,declare,,,
01013058-v,to declare or affirm solemnly and formally as true,affirm; verify; assert; avow; aver; swan; swear,,,
01013569-v,affirm or avow formally or solemnly,protest,,,
01013752-v,say yes to,affirm,,,
01013950-v,affirm once again,reaffirm,,,
01014100-v,strengthen or make more firm,confirm; reassert,,,
01014914-v,confirm again,reconfirm,,,
01015376-v,"to stress, single out as important",stress; emphasize; emphasise; punctuate; accent; accentuate,,,
01015865-v,emphasize by putting heavy stress on or by moving to the front of the sentence,topicalize,,,
01016195-v,"emphasize, especially by identification",point up,,,
01016618-v,give extra weight to (a communication),underscore; underline; emphasize; emphasise,,,
01017253-v,provide evidence for,testify; bear witness; prove; evidence; show,,,
01018011-v,report or maintain,allege; aver; say,,,
01018787-v,state categorically,assert; asseverate; maintain,,,
01019010-v,affirm or declare as an attribute or quality of,predicate; proclaim,,,
01019652-v,state or assert,maintain; defend,,,
01019835-v,claim as due or just,demand; exact,,,
01020361-v,"ask for legally or make a legal claim to, as of debts, for example",claim,,,
01020937-v,specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,stipulate; qualify; condition; specify,,,
01021481-v,give a guarantee or promise of,stipulate,,,
01021652-v,inform positively and with certainty and confidence,assure; tell,,,
01021817-v,give reassurance to; give or restore confidence in; cause to feel sure or certain,reassure,,,
01022014-v,make mention of,note; observe; mention; remark,,,
01022365-v,"put down in writing; of texts, musical compositions, etc.",write down; set down; get down; put down,,,
01022943-v,make a written note of,note; take down,,,
01023429-v,reach a conclusion after a discussion or deliberation,conclude; resolve,,,
01023638-v,make arrangements for,arrange; fix up,,,
01023982-v,be specific about,specify; particularize; particularise; specialize; specialise,,,
01024266-v,draw too general a conclusion,overgeneralize; overgeneralise,,,
01024429-v,draw from specific cases for more general cases,generalize; generalise; extrapolate; infer,,,
01025268-v,repeat a passage from,quote; cite,,,
01026199-v,make reference to,mention; advert; bring up; cite; name; refer,,,
01026873-v,cite as an authority; resort to,invoke; appeal,,,
01027611-v,insert casually,slip in; stick in; sneak in; insert,,,
01027794-v,mention something unpleasant from the past,drag up; dredge up,,,
01029183-v,state or say further,add; append; supply,,,
01029370-v,add casually to a conversation,toss in,,,
01035399-v,act on verbally or in some form of artistic expression,cover; treat; handle; plow; deal; address,,,
01036804-v,obstruct or hinder any discussion,stonewall,,,
01039782-v,"talk or behave amorously, without serious intentions",chat up; flirt; dally; butterfly; coquet; coquette; romance; philander; mash,,,
01041202-v,communicate silently and non-verbally by signals or signs,sign; signal; signalize; signalise,,,
01041726-v,make known with a word or signal,signify,,,
01042272-v,signal by means of a mirror and the using the sun's rays,heliograph,,,
01042422-v,communicate or signal with a flag,flag,,,
01043287-v,signal with the hands or nod,beckon; wave,,,
01045313-v,utter or express by whistling,whistle,,,
01045986-v,speak softly or indistinctly,murmur,,,
01046405-v,talk indistinctly; usually in a low voice,mumble; mutter; maunder; mussitate,,,
01049945-v,utter in deep prolonged tones,bay,,,
01050441-v,shout loudly and without restraint,bawl; bellow,,,
01051342-v,sing softly,croon,,,
01051609-v,recite with musical intonation; recite as a chant or a psalm,chant; intone; intonate; cantillate,,,
01052037-v,"speak, chant, or declaim in a singsong",singsong,,,
01052768-v,"sing or play with trills, alternating with the half note above or below",warble; trill; quaver,,,
01053236-v,recite in elocution,declaim; recite,,,
01056058-v,express or utter with a hiss,hiss; sizz; siss; sibilate,,,
01057701-v,sing with closed lips,hum,,,
01058426-v,talk or utter in a cackling manner,cackle,,,
01059214-v,jam an entire frequency spectrum,barrage jam,,,
01059430-v,jam a narrow band of frequencies,point jam,,,
01059581-v,jam a single frequency,spot jam,,,
01059709-v,jam a broad spectrum of frequencies to affect all communications in the area except for directional antenna communications,blanket jam,,,
01060446-v,make or write a comment on,comment; notice; remark; point out,,,
01061436-v,refuse to acknowledge,ignore; disregard; snub; cut,,,
01064761-v,"send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message",call,,,
01067652-v,"utter meaningless sounds, like a baby, or utter in an incoherent way",babble,,,
01069838-v,to make melodious sounds,sing,,,
01072477-v,give the etymology or derivation or suggest an etymology (for a word),etymologize; etymologise,,,
90000001-v,To post a message on Twitter,tweet,,,
02205670-v,give a present that one has received to someone else,regift,,,
02207166-v,retain possession of,keep; hold on,,,
02210922-v,get credit or money by using a bad check,kite,,,
02211988-v,obtain by purchase; acquire by means of a financial transaction,buy; purchase,,,
02214527-v,receive or obtain regularly,subscribe; subscribe to; take,,,
02218118-v,get something or somebody for a specific purpose,line up; get hold; come up; find,,,
02225243-v,cause to change ownership,transfer,,,
02226236-v,transmit a title or property,convey,,,
02229563-v,remove something that has been rejected,cull,,,
02236255-v,throw (a ball) to another player,pass,,,
02243318-v,get (a product) from another country or business,source,,,
02244187-v,"secure a place in a college, university, etc.",get in; get into,,,
02246831-v,sell illicit products such as drugs or alcohol,bootleg,,,
02247968-v,"sell securities or commodities or foreign currency that is not actually owned by the seller, who hopes to cover (buy back) the sold items at a lower price and thus to earn a profit",sell short,,,
02249738-v,do business; offer for sale as for one's livelihood,deal; sell; trade,,,
02252366-v,sell or get rid of all one's merchandise,sell out; sell up; liquidize,,,
02254885-v,pay too much,overpay,,,
02255024-v,pay too little,underpay,,,
02255148-v,pay for something before receiving it,prepay,,,
02256551-v,"give money, usually in exchange for goods or services",pay,,,
02257739-v,cancel or discharge a debt,pay up; ante up; pay,,,
02258764-v,be in debt,owe,,,
02263812-v,exchange or give (something) in exchange for,trade; swap; swop; switch,,,
02265577-v,trade or deal a commodity,traffic,,,
02266271-v,act as a broker,broker,,,
02267835-v,give to a charity or good cause,donate,,,
02270824-v,accumulate money for future use,save; lay aside; save up,,,
02275010-v,obtain or seek to obtain by cadging or wheedling,schnorr; shnorr; scrounge; cadge,,,
02275249-v,ask for and get free; be a parasite,mooch; bum; cadge; grub; sponge,,,
02275660-v,ask to obtain free,beg,,,
02275823-v,beg by accosting people in the street and asking for money,panhandle,,,
02280210-v,demand as being one's due or property; assert one's right or title to,claim; lay claim; arrogate,,,
02281983-v,take illegally,rustle; lift,,,
02282148-v,steal in a store,shoplift,,,
02282906-v,take without referencing from someone else's writing or speech; of intellectual property,plagiarize; plagiarise; lift,,,
02293561-v,cheat or trick,cozen,,,
02295310-v,win an athletic letter,letter,,,
02300169-v,"have, give, or receive a share of",partake; share; partake in,,,
02300511-v,use jointly or in common,share,,,
02300803-v,combine into a common fund,pool,,,
02303593-v,propose a payment,offer; bid; tender,,,
02312392-v,impose a fine on,mulct; fine,,,
02313721-v,contribute to some cause,contribute; give; chip in; kick in,,,
02316367-v,remove (a commodity) from (a supply source),withdraw; draw; take out; draw off,,,
02316837-v,take a small amount from,dip,,,
02318886-v,reduce or dispose of; cease to hold (an investment),divest; disinvest,,,
02328600-v,stock excessively,overstock,,,
02328710-v,stock with less than the usual or desirable number or quantity,understock,,,
02329474-v,bestow a quality on,lend; impart; bestow; contribute; add; bring,,,
02330038-v,impart gradually,instill; transfuse,,,
02330401-v,impart a cheap brightness to,tinsel,,,
02350284-v,take illegally; of intellectual property,loot; plunder,,,
02350852-v,import or export without paying customs duties,smuggle,,,
02362227-v,"spend sparingly, avoid the waste of",save; economize; economise,,,
02368741-v,"record, add up, and receive payment for items purchased",check out,,,
01775115-v,irritate,get; get under one's skin,,,
01775456-v,undergo an emotional sensation or be in a particular state of mind,feel; experience,,,
01780648-v,have or feel a dislike or distaste for,dislike,,,
01781131-v,find enjoyable or agreeable,like,,,
01781734-v,love intensely,adore,,,
01784021-v,be afraid or scared of; be frightened of,fear; dread,,,
01798206-v,raise scruples,scruple,,,
01798679-v,experience (emotional) pain,suffer,,,
01800593-v,feel remorse for; feel sorry for; be contrite about,repent; regret; rue,,,
01811849-v,be attractive to,attract; appeal,,,
01824240-v,derive or receive pleasure from; get enjoyment from; take pleasure in,enjoy; bask; relish; savor; savour,,,
01829179-v,feel or have a desire for; want strongly,desire; want,,,
01830126-v,have an inclination for something or some activity,feel like,,,
01830440-v,like better; value more highly,prefer,,,
01832565-v,"have a liking, fondness, or taste (for)",care for,,,
01832678-v,get pleasure from,love; enjoy,,,
